,Country,Monthly_Sal_EUR,EdLevel
0,Slovakia,479.72,Secondary school
259,Slovakia,259.84833333333336,Bachelor's degree
2815,Slovakia,319.81333333333333,Master's degree
3929,Slovakia,209.8775,Doctoral degree
4304,Slovakia,389.77250000000004,college/university without bachelor's degree
4344,Slovakia,179.895,Bachelor's degree
5003,Slovakia,255.85066666666665,Master's degree
5348,Slovakia,249.85416666666666,Master's degree
5529,Slovakia,399.76666666666665,college/university without bachelor's degree
5771,Slovakia,59.965,Secondary school
6843,Slovakia,3233.012975,Master's degree
7943,Slovakia,119.93,Master's degree
7967,Slovakia,3497.958333333333,college/university without bachelor's degree
9085,Slovakia,499.7083333333333,Bachelor's degree
9256,Slovakia,199.88333333333333,Master's degree
10752,Slovakia,109.93583333333333,Master's degree
11851,Slovakia,73.45712499999999,Master's degree
11899,Slovakia,249.85416666666666,Master's degree
12136,Slovakia,219.87166666666667,Bachelor's degree
13230,Slovakia,359.79,Master's degree
13232,Slovakia,349.79583333333335,college/university without bachelor's degree
13297,Slovakia,131.923,Master's degree
13302,Slovakia,3597.9,Master's degree
13506,Slovakia,149.9125,Master's degree
13857,Slovakia,259.84833333333336,Secondary school
13885,Slovakia,7995.333333333333,Secondary school
14676,Slovakia,229.8658333333333,Master's degree
14748,Slovakia,349.79583333333335,Master's degree
14943,Slovakia,249.85416666666666,Master's degree
15035,Slovakia,219.87166666666667,Secondary school
15223,Slovakia,399.76666666666665,Doctoral degree
15294,Slovakia,199.88333333333333,Master's degree
16607,Slovakia,1998.8333333333333,Secondary school
16647,Slovakia,449.7375,college/university without bachelor's degree
17017,Slovakia,299.825,Master's degree
17106,Slovakia,129.92416666666668,college/university without bachelor's degree
18086,Slovakia,239.86,Secondary school
18500,Slovakia,3198.133333333333,Master's degree
18997,Slovakia,54.96791666666667,Bachelor's degree
23318,Slovakia,419.755,Bachelor's degree
23440,Slovakia,649.6208333333333,Master's degree
24067,Slovakia,399.76666666666665,Secondary school
24210,Slovakia,349.79583333333335,college/university without bachelor's degree
24371,Slovakia,229.8658333333333,college/university without bachelor's degree
24585,Slovakia,179.895,Doctoral degree
24699,Slovakia,169.9008333333333,Secondary school
24858,Slovakia,129.92416666666668,Master's degree
25045,Slovakia,279.83666666666664,Master's degree
25185,Slovakia,319.81333333333333,Professional degree
25648,Slovakia,249.85416666666666,Master's degree
25783,Slovakia,119.93,Master's degree
25844,Slovakia,299.825,Master's degree
26076,Slovakia,579.6616666666666,college/university without bachelor's degree
26470,Slovakia,199.88333333333333,college/university without bachelor's degree
27046,Slovakia,4697.258333333333,Master's degree
28051,Slovakia,69.95916666666666,Bachelor's degree
28099,Slovakia,279.83666666666664,Master's degree
28658,Slovakia,249.85416666666666,Secondary school
29606,Slovakia,619.6383333333333,Master's degree
32245,Slovakia,219.87166666666667,Master's degree
32550,Slovakia,99.94166666666666,Master's degree
32632,Slovakia,4697.258333333333,Master's degree
34046,Slovakia,189.88916666666665,Master's degree
38063,Slovakia,199.88333333333333,Master's degree
38614,Slovakia,255.85066666666665,Master's degree
39072,Slovakia,199.88333333333333,Secondary school
40468,Slovakia,199.88333333333333,college/university without bachelor's degree
40604,Slovakia,3797.7833333333333,Master's degree
42145,Slovakia,3997.6666666666665,Bachelor's degree
42309,Slovakia,189.88916666666665,Master's degree
42317,Slovakia,249.85416666666666,Master's degree
42469,Slovakia,299.825,Master's degree
42772,Slovakia,269.8425,Master's degree
43169,Slovakia,199.88333333333333,Master's degree
43413,Slovakia,599.65,Master's degree
43880,Slovakia,399.76666666666665,Bachelor's degree
45524,Slovakia,369.78416666666664,Bachelor's degree
45582,Slovakia,219.87166666666667,Master's degree
45739,Slovakia,239.86,Master's degree
46173,Slovakia,229.8658333333333,Master's degree
47991,Slovakia,5496.791666666666,Master's degree
48769,Slovakia,87.94866666666667,Master's degree
48817,Slovakia,179.895,Master's degree
48922,Slovakia,429.7491666666666,Secondary school
48987,Slovakia,4997.083333333333,Master's degree
49309,Slovakia,399.76666666666665,Master's degree
49323,Slovakia,112.434375,Professional degree
49886,Slovakia,399.76666666666665,Master's degree
50516,Slovakia,319.81333333333333,Master's degree
53140,Slovakia,279.83666666666664,Master's degree
53336,Slovakia,249.85416666666666,Master's degree
53954,Slovakia,449.7375,Master's degree
54098,Slovakia,4197.549999999999,Bachelor's degree
54613,Slovakia,191.88799999999998,Master's degree
54883,Slovakia,199.88333333333333,Master's degree
54886,Slovakia,199.88333333333333,Master's degree
55053,Slovakia,149.9125,Primary/elementary school
55142,Slovakia,219.87166666666667,Master's degree
55347,Slovakia,439.74333333333334,Master's degree
56094,Slovakia,299.825,Master's degree
56136,Slovakia,3497.958333333333,Master's degree
56182,Slovakia,439.74333333333334,Master's degree
57275,Slovakia,89.9475,Master's degree
57701,Slovakia,309.81916666666666,Secondary school
58177,Slovakia,297.22651666666667,Bachelor's degree
58454,Slovakia,399.76666666666665,Master's degree
58460,Slovakia,239.86,Master's degree
60122,Slovakia,299.825,Master's degree
60684,Slovakia,139.91833333333332,Secondary school
61491,Slovakia,4197.549999999999,Master's degree
62479,Slovakia,499.7083333333333,Master's degree
64843,Slovakia,329.8075,college/university without bachelor's degree
65002,Slovakia,349.79583333333335,Master's degree
65628,Slovakia,379.7783333333333,Master's degree
65775,Slovakia,294.8279166666666,Master's degree
67484,Slovakia,324.81041666666664,Master's degree
67980,Slovakia,349.79583333333335,Secondary school
68000,Slovakia,399.76666666666665,Secondary school
68082,Slovakia,149.9125,Primary/elementary school
68590,Slovakia,3997.6666666666665,Doctoral degree
68831,Slovakia,249.85416666666666,college/university without bachelor's degree
68928,Slovakia,3997.6666666666665,Master's degree
69404,Slovakia,2998.25,Master's degree
69905,Slovakia,289.8308333333333,Master's degree
70611,Slovakia,349.79583333333335,Master's degree
70789,Slovakia,2398.6,Secondary school
72837,Slovakia,289.8308333333333,Bachelor's degree
73806,Slovakia,9.994166666666667,Secondary school
