,Country,Monthly_Sal_EUR,YearsCodePro
259,Slovakia,259.84833333333336,4
2815,Slovakia,319.81333333333333,10
3929,Slovakia,209.8775,9
4344,Slovakia,179.895,2
5003,Slovakia,255.85066666666665,3
5348,Slovakia,249.85416666666666,26
5529,Slovakia,399.76666666666665,9
5771,Slovakia,59.965,2
6843,Slovakia,3233.012975,8
7943,Slovakia,119.93,2
7967,Slovakia,3497.958333333333,13
9085,Slovakia,499.7083333333333,10
9256,Slovakia,199.88333333333333,3
10752,Slovakia,109.93583333333333,2
11851,Slovakia,73.45712499999999,19
11899,Slovakia,249.85416666666666,6
12136,Slovakia,219.87166666666667,5
13232,Slovakia,349.79583333333335,7
13297,Slovakia,131.923,3
13302,Slovakia,3597.9,8
13506,Slovakia,149.9125,5
13857,Slovakia,259.84833333333336,10
13885,Slovakia,7995.333333333333,10
14676,Slovakia,229.8658333333333,4
14748,Slovakia,349.79583333333335,10
14943,Slovakia,249.85416666666666,6
15035,Slovakia,219.87166666666667,1
15223,Slovakia,399.76666666666665,18
15294,Slovakia,199.88333333333333,5
16607,Slovakia,1998.8333333333333,4
16647,Slovakia,449.7375,10
17017,Slovakia,299.825,9
17106,Slovakia,129.92416666666668,11
18086,Slovakia,239.86,5
18500,Slovakia,3198.133333333333,3
18997,Slovakia,54.96791666666667,2
23318,Slovakia,419.755,18
23440,Slovakia,649.6208333333333,5
24067,Slovakia,399.76666666666665,17
24210,Slovakia,349.79583333333335,8
24371,Slovakia,229.8658333333333,6
24585,Slovakia,179.895,12
24699,Slovakia,169.9008333333333,3
24858,Slovakia,129.92416666666668,21
25045,Slovakia,279.83666666666664,12
25185,Slovakia,319.81333333333333,20
25648,Slovakia,249.85416666666666,6
25783,Slovakia,119.93,12
25844,Slovakia,299.825,6
26076,Slovakia,579.6616666666666,5
26470,Slovakia,199.88333333333333,3
27046,Slovakia,4697.258333333333,25
28051,Slovakia,69.95916666666666,10
28099,Slovakia,279.83666666666664,15
28658,Slovakia,249.85416666666666,3
29606,Slovakia,619.6383333333333,12
32245,Slovakia,219.87166666666667,16
32550,Slovakia,99.94166666666666,12
32632,Slovakia,4697.258333333333,5
34046,Slovakia,189.88916666666665,9
38063,Slovakia,199.88333333333333,4
38614,Slovakia,255.85066666666665,20
39072,Slovakia,199.88333333333333,14
40468,Slovakia,199.88333333333333,12
40604,Slovakia,3797.7833333333333,4
42145,Slovakia,3997.6666666666665,5
42309,Slovakia,189.88916666666665,8
42317,Slovakia,249.85416666666666,4
42469,Slovakia,299.825,7
42772,Slovakia,269.8425,5
43169,Slovakia,199.88333333333333,5
43413,Slovakia,599.65,13
43880,Slovakia,399.76666666666665,10
45524,Slovakia,369.78416666666664,3
45582,Slovakia,219.87166666666667,6
45739,Slovakia,239.86,12
46173,Slovakia,229.8658333333333,4
47991,Slovakia,5496.791666666666,11
48769,Slovakia,87.94866666666667,6
48817,Slovakia,179.895,2
48922,Slovakia,429.7491666666666,30
48987,Slovakia,4997.083333333333,13
49309,Slovakia,399.76666666666665,9
49323,Slovakia,112.434375,9
49886,Slovakia,399.76666666666665,13
50516,Slovakia,319.81333333333333,5
53140,Slovakia,279.83666666666664,16
53336,Slovakia,249.85416666666666,4
53954,Slovakia,449.7375,32
54098,Slovakia,4197.549999999999,11
54613,Slovakia,191.88799999999998,3
54883,Slovakia,199.88333333333333,4
54886,Slovakia,199.88333333333333,10
55053,Slovakia,149.9125,4
55142,Slovakia,219.87166666666667,10
55347,Slovakia,439.74333333333334,7
56094,Slovakia,299.825,7
56136,Slovakia,3497.958333333333,6
56182,Slovakia,439.74333333333334,7
57275,Slovakia,89.9475,18
57701,Slovakia,309.81916666666666,6
58177,Slovakia,297.22651666666667,6
58454,Slovakia,399.76666666666665,22
58460,Slovakia,239.86,7
60122,Slovakia,299.825,9
60684,Slovakia,139.91833333333332,1
61491,Slovakia,4197.549999999999,7
62479,Slovakia,499.7083333333333,5
64843,Slovakia,329.8075,11
65002,Slovakia,349.79583333333335,10
65628,Slovakia,379.7783333333333,12
65775,Slovakia,294.8279166666666,4
67484,Slovakia,324.81041666666664,12
67980,Slovakia,349.79583333333335,10
68000,Slovakia,399.76666666666665,6
68082,Slovakia,149.9125,5
68831,Slovakia,249.85416666666666,10
68928,Slovakia,3997.6666666666665,21
69404,Slovakia,2998.25,5
69905,Slovakia,289.8308333333333,7
70611,Slovakia,349.79583333333335,6
70789,Slovakia,2398.6,4
72837,Slovakia,289.8308333333333,3
73806,Slovakia,9.994166666666667,2
74473,Slovakia,179.895,2
74595,Slovakia,199.88333333333333,2
76156,Slovakia,369.78416666666664,4
77849,Slovakia,159.90666666666667,1
78344,Slovakia,6995.916666666666,9
80299,Slovakia,289.8308333333333,9
80774,Slovakia,1024.4020833333334,17
80860,Slovakia,543.6826666666666,20
82442,Slovakia,4497.375,7
