,Country,Monthly_Sal_EUR,YearsCodePro
160,Slovenia,599.65,20
578,Slovenia,129.92416666666668,8
885,Slovenia,179.895,10
977,Slovenia,4997.083333333333,15
1010,Slovenia,3497.958333333333,7
2224,Slovenia,109.93583333333333,1
2904,Slovenia,199.88333333333333,5
3350,Slovenia,139.91833333333332,20
3432,Slovenia,312.3177083333333,3
3845,Slovenia,4397.433333333333,6
4030,Slovenia,399.76666666666665,4
4155,Slovenia,199.88333333333333,2
4438,Slovenia,99.94166666666666,1
5323,Slovenia,255.35095833333332,3
5845,Slovenia,119.93,1
7072,Slovenia,149.9125,5
7503,Slovenia,199.88333333333333,2
7548,Slovenia,319.81333333333333,10
8160,Slovenia,237.8611666666667,4
8203,Slovenia,199.88333333333333,7
8711,Slovenia,3497.958333333333,4
9016,Slovenia,229.8658333333333,5
9156,Slovenia,269.8425,15
9897,Slovenia,349.79583333333335,10
10833,Slovenia,209.8775,6
11099,Slovenia,349.79583333333335,14
11321,Slovenia,299.825,9
11919,Slovenia,349.79583333333335,20
12065,Slovenia,169.9008333333333,1
13199,Slovenia,299.825,15
14268,Slovenia,4997.083333333333,15
14818,Slovenia,299.825,15
14961,Slovenia,6696.091666666667,21
15143,Slovenia,4197.549999999999,9
15215,Slovenia,289.8308333333333,4
17552,Slovenia,5996.5,20
17806,Slovenia,219.87166666666667,4
18009,Slovenia,299.825,6
18194,Slovenia,349.79583333333335,5
18673,Slovenia,149.9125,1
18713,Slovenia,619.6383333333333,20
19178,Slovenia,69.95916666666666,2
20436,Slovenia,5996.5,20
20983,Slovenia,229.8658333333333,20
21235,Slovenia,299.825,15
21373,Slovenia,99.94166666666666,1
21836,Slovenia,3198.133333333333,5
23026,Slovenia,89.9475,1
23049,Slovenia,6496.208333333333,23
23133,Slovenia,159.90666666666667,4
23713,Slovenia,129.92416666666668,2
24117,Slovenia,599.65,9
24278,Slovenia,69.95916666666666,2
24816,Slovenia,1099.3583333333333,1
25244,Slovenia,169.9008333333333,3
25523,Slovenia,349.79583333333335,5
25605,Slovenia,299.825,5
26032,Slovenia,179.895,6
26136,Slovenia,279.83666666666664,12
26182,Slovenia,109.93583333333333,1
26509,Slovenia,3597.9,8
26940,Slovenia,249.85416666666666,9
27370,Slovenia,419.755,6
27407,Slovenia,209.8775,3
28359,Slovenia,409.7608333333333,8
28537,Slovenia,499.7083333333333,22
28570,Slovenia,249.85416666666666,17
28959,Slovenia,289.8308333333333,5
29526,Slovenia,119.93,4
30130,Slovenia,6596.15,19
30326,Slovenia,8495.041666666666,20
30475,Slovenia,209.8775,4
31483,Slovenia,3997.6666666666665,10
32030,Slovenia,259.84833333333336,1
34498,Slovenia,229.8658333333333,11
35088,Slovenia,359.79,5
35274,Slovenia,319.81333333333333,13
36540,Slovenia,159.90666666666667,5
36558,Slovenia,419.755,10
37040,Slovenia,4197.549999999999,2
38237,Slovenia,224.86875,2
38482,Slovenia,249.85416666666666,12
38505,Slovenia,4997.083333333333,15
39850,Slovenia,279.83666666666664,10
39979,Slovenia,94.94458333333333,3
40058,Slovenia,129.92416666666668,4
40128,Slovenia,269.8425,4
40678,Slovenia,159.90666666666667,4
41175,Slovenia,129.92416666666668,2
41343,Slovenia,219.87166666666667,3
41639,Slovenia,899.475,15
42168,Slovenia,124.92708333333333,1
42756,Slovenia,249.85416666666666,14
44071,Slovenia,599.65,7
44161,Slovenia,99.94166666666666,10
44812,Slovenia,5996.5,17
45113,Slovenia,359.79,8
45418,Slovenia,179.895,2
46016,Slovenia,119.93,2
46324,Slovenia,299.825,18
46652,Slovenia,499.7083333333333,23
46693,Slovenia,99.94166666666666,10
47104,Slovenia,3957.6899999999996,15
47214,Slovenia,8395.099999999999,22
47360,Slovenia,324.81041666666664,3
48746,Slovenia,99.94166666666666,2
48997,Slovenia,239.86,5
49577,Slovenia,299.825,5
50100,Slovenia,4497.375,31
50489,Slovenia,299.825,4
50507,Slovenia,349.79583333333335,17
50991,Slovenia,4497.375,8
51053,Slovenia,199.88333333333333,18
51757,Slovenia,109.93583333333333,1
52083,Slovenia,2898.3083333333334,5
52146,Slovenia,9994.166666666666,15
52591,Slovenia,249.85416666666666,2
52783,Slovenia,759.5566666666666,3
53007,Slovenia,349.79583333333335,5
53107,Slovenia,139.91833333333332,5
53401,Slovenia,321.81216666666666,3
53643,Slovenia,219.87166666666667,11
54411,Slovenia,119.93,5
54791,Slovenia,199.88333333333333,3
54858,Slovenia,449.7375,13
55242,Slovenia,199.88333333333333,20
55491,Slovenia,899.475,14
56369,Slovenia,249.85416666666666,3
56456,Slovenia,229.8658333333333,9
56486,Slovenia,119.93,6
56905,Slovenia,104.93875,15
56933,Slovenia,299.825,4
57378,Slovenia,119.93,9
57606,Slovenia,199.88333333333333,10
58391,Slovenia,3997.6666666666665,6
58475,Slovenia,199.88333333333333,6
58657,Slovenia,3597.9,5
58748,Slovenia,349.79583333333335,14
58820,Slovenia,209.8775,5
60161,Slovenia,2998.25,18
60243,Slovenia,299.825,6
61750,Slovenia,149.9125,1
61811,Slovenia,5796.616666666667,10
61893,Slovenia,249.85416666666666,4
61987,Slovenia,249.85416666666666,5
62312,Slovenia,8295.158333333333,16
62809,Slovenia,349.79583333333335,20
63107,Slovenia,99.94166666666666,2
63767,Slovenia,299.825,18
64051,Slovenia,86.94925,1
64228,Slovenia,599.65,15
64232,Slovenia,4197.549999999999,4
64597,Slovenia,149.9125,30
64948,Slovenia,169.9008333333333,3
64989,Slovenia,1199.3,2
65230,Slovenia,309.81916666666666,3
65284,Slovenia,249.85416666666666,7
65424,Slovenia,229.8658333333333,4
65550,Slovenia,299.825,2
65686,Slovenia,199.88333333333333,21
66090,Slovenia,2398.6,10
66214,Slovenia,179.895,3
66697,Slovenia,209.8775,8
67021,Slovenia,279.83666666666664,20
67148,Slovenia,249.85416666666666,5
68322,Slovenia,3997.6666666666665,3
68354,Slovenia,99.94166666666666,24
68425,Slovenia,2998.25,10
68543,Slovenia,199.88333333333333,20
69722,Slovenia,179.895,3
71165,Slovenia,219.87166666666667,4
71398,Slovenia,249.85416666666666,3
72233,Slovenia,239.86,4
74001,Slovenia,169.9008333333333,1
74188,Slovenia,339.8016666666666,22
74281,Slovenia,3997.6666666666665,7
74728,Slovenia,309.81916666666666,6
75116,Slovenia,2998.25,11
76437,Slovenia,31.981333333333332,4
76880,Slovenia,167.902,10
77476,Slovenia,269.8425,4
77782,Slovenia,1998.8333333333333,3
78112,Slovenia,3892.32815,8
78205,Slovenia,11993.0,8
79140,Slovenia,179.895,2
79656,Slovenia,4997.083333333333,8
80701,Slovenia,3.9976666666666665,4
80736,Slovenia,7995.333333333333,15
81991,Slovenia,4997.083333333333,23
82122,Slovenia,99.94166666666666,10
82304,Slovenia,119.93,4
83505,Slovenia,4997.083333333333,11
83831,Slovenia,349.79583333333335,8
84246,Slovenia,2498.5416666666665,24
84672,Slovenia,179.895,7
84684,Slovenia,179.895,2
84757,Slovenia,219.87166666666667,6
84850,Slovenia,199.88333333333333,5
85130,Slovenia,129.92416666666668,3
86251,Slovenia,549.6791666666667,5
86380,Slovenia,499.7083333333333,4
86408,Slovenia,149.9125,5
86754,Slovenia,259.84833333333336,7
87368,Slovenia,244.85708333333332,6
88216,Slovenia,199.88333333333333,5
