,Country,Monthly_Sal_EUR,EdLevel
184,Slovenia,219.87166666666667,college/university without bachelor's degree
2485,Slovenia,349.79583333333335,Master's degree
2866,Slovenia,299.825,college/university without bachelor's degree
2879,Slovenia,49.97083333333333,Secondary school
3313,Slovenia,299.825,Bachelor's degree
6686,Slovenia,99.94166666666666,Associate degree
7282,Slovenia,329.8075,Bachelor's degree
8318,Slovenia,4497.375,Bachelor's degree
8470,Slovenia,159.90666666666667,college/university without bachelor's degree
9064,Slovenia,119.93,Bachelor's degree
9527,Slovenia,549.6791666666667,No formal education
9976,Slovenia,5996.5,Bachelor's degree
10615,Slovenia,199.88333333333333,college/university without bachelor's degree
11560,Slovenia,249.85416666666666,Bachelor's degree
11774,Slovenia,266.4444833333333,Bachelor's degree
11848,Slovenia,479.72,Secondary school
12020,Slovenia,324.81041666666664,Master's degree
12148,Slovenia,199.88333333333333,Master's degree
12192,Slovenia,499.7083333333333,Bachelor's degree
12242,Slovenia,239.86,college/university without bachelor's degree
12261,Slovenia,159.90666666666667,college/university without bachelor's degree
12316,Slovenia,299.825,Bachelor's degree
12341,Slovenia,169.9008333333333,college/university without bachelor's degree
12379,Slovenia,469.7258333333333,Secondary school
12426,Slovenia,4497.375,Bachelor's degree
12428,Slovenia,8994.75,college/university without bachelor's degree
12492,Slovenia,169.9008333333333,college/university without bachelor's degree
12908,Slovenia,4797.2,college/university without bachelor's degree
13115,Slovenia,259.84833333333336,college/university without bachelor's degree
13475,Slovenia,219.87166666666667,Bachelor's degree
13875,Slovenia,249.85416666666666,Secondary school
14215,Slovenia,139.91833333333332,Secondary school
14344,Slovenia,4097.608333333334,Bachelor's degree
14386,Slovenia,4997.083333333333,Bachelor's degree
14765,Slovenia,349.79583333333335,Bachelor's degree
16006,Slovenia,349.79583333333335,Secondary school
16193,Slovenia,299.825,Doctoral degree
16329,Slovenia,419.755,college/university without bachelor's degree
16428,Slovenia,3997.6666666666665,college/university without bachelor's degree
18867,Slovenia,299.825,Doctoral degree
18875,Slovenia,279.83666666666664,Master's degree
18977,Slovenia,849.5041666666667,Master's degree
20974,Slovenia,209.8775,Bachelor's degree
21096,Slovenia,2498.5416666666665,college/university without bachelor's degree
21200,Slovenia,399.76666666666665,Bachelor's degree
21251,Slovenia,5996.5,Associate degree
21256,Slovenia,169.9008333333333,Master's degree
21993,Slovenia,0.09994166666666666,college/university without bachelor's degree
22088,Slovenia,289.8308333333333,Bachelor's degree
22284,Slovenia,5996.5,Bachelor's degree
23073,Slovenia,4997.083333333333,Bachelor's degree
24154,Slovenia,549.6791666666667,Bachelor's degree
26658,Slovenia,2098.7749999999996,Master's degree
26686,Slovenia,4247.520833333333,Doctoral degree
27048,Slovenia,189.88916666666665,college/university without bachelor's degree
27665,Slovenia,179.895,Bachelor's degree
29422,Slovenia,2158.74,Bachelor's degree
29537,Slovenia,199.88333333333333,Bachelor's degree
32125,Slovenia,449.7375,Master's degree
32626,Slovenia,2698.425,college/university without bachelor's degree
34861,Slovenia,3997.6666666666665,Master's degree
34962,Slovenia,219.87166666666667,Bachelor's degree
35334,Slovenia,5496.791666666666,Secondary school
36923,Slovenia,179.895,Secondary school
38075,Slovenia,149.9125,Bachelor's degree
38520,Slovenia,499.7083333333333,college/university without bachelor's degree
39761,Slovenia,104.93875,Bachelor's degree
40810,Slovenia,2998.25,Bachelor's degree
40897,Slovenia,159.90666666666667,Master's degree
44236,Slovenia,129.92416666666668,Master's degree
45111,Slovenia,349.79583333333335,Bachelor's degree
45143,Slovenia,619.6383333333333,Bachelor's degree
45555,Slovenia,399.76666666666665,Bachelor's degree
46029,Slovenia,309.81916666666666,Master's degree
47222,Slovenia,199.88333333333333,Master's degree
48213,Slovenia,219.87166666666667,Bachelor's degree
48255,Slovenia,89.9475,Bachelor's degree
48578,Slovenia,249.85416666666666,Bachelor's degree
49461,Slovenia,3997.6666666666665,Bachelor's degree
49499,Slovenia,256.8500833333333,college/university without bachelor's degree
49950,Slovenia,449.7375,Master's degree
51036,Slovenia,8994.75,Master's degree
51100,Slovenia,599.65,Bachelor's degree
51616,Slovenia,79.95333333333333,Master's degree
51645,Slovenia,254.85125,college/university without bachelor's degree
51880,Slovenia,279.83666666666664,Bachelor's degree
54896,Slovenia,699.5916666666667,college/university without bachelor's degree
54958,Slovenia,10194.05,Master's degree
55080,Slovenia,359.79,Master's degree
55233,Slovenia,499.7083333333333,Secondary school
55793,Slovenia,214.8745833333333,Bachelor's degree
57786,Slovenia,149.9125,Secondary school
58240,Slovenia,249.85416666666666,college/university without bachelor's degree
58701,Slovenia,144.91541666666666,Associate degree
58761,Slovenia,169.9008333333333,college/university without bachelor's degree
63049,Slovenia,399.76666666666665,Bachelor's degree
64090,Slovenia,229.8658333333333,Master's degree
