,Country,Monthly_Sal_EUR,YearsCodePro
3552,South Africa,3480.6062855728824,5.0
4154,South Africa,1190.7337292749316,2.0
8105,South Africa,7693.9717891611,1.0
9459,South Africa,1657.8677307597175,9.0
10703,South Africa,2747.8470675575354,4.0
11783,South Africa,2473.0623608017822,7.0
14273,South Africa,3663.7960900767102,4.0
15340,South Africa,1099.138827023014,2.0
18319,South Africa,19784.49888641428,1.0
21993,South Africa,4304.960405840143,7.0
21994,South Africa,17.586221232368278,3.0
30610,South Africa,1648.7082405345213,1.0
30885,South Africa,2839.441969809449,3.0
30909,South Africa,7034.488492947286,2.0
32409,South Africa,1877.695496164318,1.0
35646,South Africa,1282.328631526854,4.0
39528,South Africa,3178.343108141552,10.0
40587,South Africa,5953.668646374665,16.0
44213,South Africa,2106.6827517941147,2.0
44842,South Africa,732.7592180153433,1.0
45722,South Africa,2175.37892848305,1.0
49568,South Africa,5495.694135115071,10.0
49660,South Africa,2747.8470675575354,1.0
51152,South Africa,4396.555308092056,2.0
