,Country,Monthly_Sal_EUR,EdLevel
1048,South Africa,3797.7833333333333,Bachelor's degree
1864,South Africa,4997.083333333333,Bachelor's degree
1954,South Africa,2098.7749999999996,Associate degree
3729,South Africa,4997.083333333333,Bachelor's degree
4092,South Africa,7695.508333333333,Bachelor's degree
5098,South Africa,2498.5416666666665,Bachelor's degree
5645,South Africa,3497.958333333333,college/university without bachelor's degree
5857,South Africa,17989.5,Secondary school
6314,South Africa,3198.133333333333,Bachelor's degree
6336,South Africa,2798.366666666667,Bachelor's degree
6554,South Africa,1249.2708333333333,Bachelor's degree
6573,South Africa,6995.916666666666,Bachelor's degree
6732,South Africa,4997.083333333333,Associate degree
6738,South Africa,8994.75,Secondary school
6838,South Africa,2498.5416666666665,Secondary school
6895,South Africa,7995.333333333333,college/university without bachelor's degree
7016,South Africa,6995.916666666666,Secondary school
7765,South Africa,899.475,Associate degree
7947,South Africa,2948.2791666666662,Bachelor's degree
8407,South Africa,3997.6666666666665,Bachelor's degree
8488,South Africa,4197.549999999999,college/university without bachelor's degree
9114,South Africa,5485.698141666666,Bachelor's degree
9123,South Africa,5496.791666666666,Bachelor's degree
9520,South Africa,4997.083333333333,college/university without bachelor's degree
10435,South Africa,6496.208333333333,college/university without bachelor's degree
10440,South Africa,3298.075,college/university without bachelor's degree
10497,South Africa,2098.7749999999996,Bachelor's degree
10509,South Africa,6496.208333333333,college/university without bachelor's degree
10517,South Africa,4997.083333333333,college/university without bachelor's degree
10519,South Africa,1599.0666666666666,college/university without bachelor's degree
10580,South Africa,6995.916666666666,college/university without bachelor's degree
10618,South Africa,1758.9733333333334,college/university without bachelor's degree
10632,South Africa,1176.3134166666666,Bachelor's degree
10646,South Africa,14991.25,college/university without bachelor's degree
10660,South Africa,3997.6666666666665,Master's degree
10687,South Africa,1699.0083333333334,Secondary school
10716,South Africa,3497.958333333333,college/university without bachelor's degree
10746,South Africa,5846.5875,Bachelor's degree
10792,South Africa,3997.6666666666665,Bachelor's degree
10797,South Africa,11993.0,Master's degree
10862,South Africa,1798.95,Bachelor's degree
10923,South Africa,4731.338441666667,Bachelor's degree
