,Country,Monthly_Sal_EUR,YearsCodePro
69,Spain,2688.17204301075,4.0
781,Spain,3136.200716845875,4.0
1203,Spain,2329.74910394265,2.0
1433,Spain,3405.01792114695,3.0
1477,Spain,3673.835125448025,3.0
1805,Spain,1881.7204301075249,1.0
3016,Spain,3136.200716845875,8.0
3298,Spain,3942.6523297490994,5.0
3335,Spain,5152.329749103941,4.0
3402,Spain,2688.17204301075,9.0
3412,Spain,4390.681003584234,13.0
3431,Spain,2508.9605734767,2.0
3509,Spain,4928.315412186383,15.0
3630,Spain,2329.74910394265,2.0
3651,Spain,2060.931899641575,10.0
3688,Spain,2007.1684587813581,15.0
3865,Spain,2688.17204301075,4.0
3893,Spain,2777.7777777777746,9.0
4060,Spain,2956.9892473118252,10.0
4075,Spain,1612.9032258064499,4.0
4171,Spain,1881.7204301075249,1.0
4205,Spain,3750.0,10.0
4227,Spain,3315.412186379925,2.0
4342,Spain,2150.5376344086,2.0
4481,Spain,1254.48028673835,2.0
4613,Spain,3315.412186379925,8.0
4927,Spain,1254.48028673835,5.0
4944,Spain,3225.8064516128998,11.0
5082,Spain,2688.17204301075,9.0
5358,Spain,3225.8064516128998,7.0
5529,Spain,3584.2293906809996,12.0
5631,Spain,5152.329749103941,12.0
5725,Spain,3136.200716845875,1.0
5733,Spain,6182.795698924733,6.0
6210,Spain,4480.2867383512585,14.0
6311,Spain,2867.3835125447995,9.0
6577,Spain,5376.344086021508,20.0
6607,Spain,3494.6236559139747,12.0
6832,Spain,2150.5376344086,20.0
7256,Spain,3225.8064516128998,4.0
7311,Spain,2508.9605734767,14.0
7397,Spain,1299.2831541218666,4.0
7592,Spain,3225.8064516128998,20.0
7726,Spain,3405.01792114695,14.0
8533,Spain,2688.17204301075,6.0
8776,Spain,9408.602150537667,13.0
9172,Spain,1792.1146953404998,6.0
9213,Spain,3405.01792114695,2.0
9269,Spain,3584.2293906809996,13.0
9525,Spain,2240.1433691756247,4.0
9708,Spain,3763.4408602150497,10.0
9817,Spain,2284.9462365591417,2.0
9940,Spain,2150.5376344086,6.0
10542,Spain,4301.0752688172,9.0
10552,Spain,2956.9892473118252,5.0
10946,Spain,2240.1433691756247,1.0
10992,Spain,1702.508960573475,2.0
11062,Spain,1747.3118279569917,15.0
11083,Spain,3225.8064516128998,6.0
11105,Spain,1523.297491039425,1.0
11428,Spain,2956.9892473118252,4.0
11494,Spain,2688.17204301075,7.0
11515,Spain,1881.7204301075249,3.0
11928,Spain,2419.354838709675,2.0
12529,Spain,2598.566308243725,2.0
12558,Spain,2150.5376344086,2.0
12678,Spain,4659.498207885308,5.0
12720,Spain,3225.8064516128998,4.0
12728,Spain,8960.573476702499,15.0
13230,Spain,3405.01792114695,16.0
13233,Spain,2688.17204301075,1.0
