,Country,Monthly_Sal_EUR,EdLevel
42,Spain,1798.95,Bachelor's degree
115,Spain,8994.75,Master's degree
152,Spain,2398.6,Bachelor's degree
170,Spain,4997.083333333333,Bachelor's degree
263,Spain,2798.366666666667,Professional degree
324,Spain,1898.8916666666667,Master's degree
403,Spain,4657.281666666667,Master's degree
435,Spain,4597.316666666667,Bachelor's degree
605,Spain,1998.8333333333333,Doctoral degree
765,Spain,4497.375,college/university without bachelor's degree
880,Spain,4897.141666666666,Doctoral degree
958,Spain,4597.316666666667,Bachelor's degree
995,Spain,212.37604166666668,Bachelor's degree
1054,Spain,2998.25,Master's degree
1080,Spain,3497.958333333333,college/university without bachelor's degree
1092,Spain,4997.083333333333,college/university without bachelor's degree
1179,Spain,5596.733333333334,Bachelor's degree
1224,Spain,4897.141666666666,Master's degree
1226,Spain,2218.705,Bachelor's degree
1234,Spain,129.92416666666668,Professional degree
1237,Spain,5996.5,Master's degree
1331,Spain,6716.08,Doctoral degree
1362,Spain,109.93583333333333,Bachelor's degree
1366,Spain,4497.375,Associate degree
1465,Spain,4797.2,Bachelor's degree
1514,Spain,239.86,Master's degree
1546,Spain,3497.958333333333,Bachelor's degree
1609,Spain,5496.791666666666,Bachelor's degree
1687,Spain,6296.325000000001,Master's degree
1716,Spain,2798.366666666667,Professional degree
1884,Spain,124.92708333333333,Professional degree
1928,Spain,4497.375,Bachelor's degree
1933,Spain,1798.95,Master's degree
1940,Spain,5496.791666666666,Master's degree
1959,Spain,4797.2,Bachelor's degree
2058,Spain,5496.791666666666,Bachelor's degree
2061,Spain,2498.5416666666665,Bachelor's degree
2101,Spain,9294.575,Secondary school
2108,Spain,3767.8008333333332,Master's degree
2365,Spain,149.9125,college/university without bachelor's degree
2396,Spain,3497.958333333333,Master's degree
2433,Spain,4497.375,Master's degree
2549,Spain,2398.6,Bachelor's degree
2570,Spain,129.92416666666668,Master's degree
2632,Spain,6196.383333333333,Bachelor's degree
2725,Spain,3198.133333333333,Bachelor's degree
2797,Spain,6496.208333333333,Master's degree
2801,Spain,2398.6,Bachelor's degree
2855,Spain,2998.25,Bachelor's degree
2931,Spain,2198.7166666666667,Professional degree
3093,Spain,1998.8333333333333,Bachelor's degree
