,Country,Monthly_Sal_EUR,YearsCodePro
431,Sri Lanka,14491.541666666666,3
2323,Sri Lanka,109.93583333333333,1
5208,Sri Lanka,13991.833333333332,8
5474,Sri Lanka,19588.566666666666,9
5494,Sri Lanka,6995.916666666666,2
5609,Sri Lanka,19988.333333333332,6
5890,Sri Lanka,17989.5,1
5912,Sri Lanka,15990.666666666666,2
5923,Sri Lanka,7495.625,8
5947,Sri Lanka,12992.416666666666,6
6025,Sri Lanka,4497.375,2
6060,Sri Lanka,3997.6666666666665,2
6091,Sri Lanka,2498.5416666666665,1
6167,Sri Lanka,11993.0,4
6425,Sri Lanka,19988.333333333332,3
6940,Sri Lanka,14991.25,4
7043,Sri Lanka,99.94166666666666,5
7266,Sri Lanka,16990.083333333332,5
7632,Sri Lanka,1499.125,1
7987,Sri Lanka,16.490375,3
8068,Sri Lanka,2498.5416666666665,2
8093,Sri Lanka,12992.416666666666,2
9179,Sri Lanka,7995.333333333333,3
9244,Sri Lanka,7495.625,1
9690,Sri Lanka,99.94166666666666,10
9841,Sri Lanka,13991.833333333332,3
10034,Sri Lanka,14991.25,3
10126,Sri Lanka,14991.25,7
10174,Sri Lanka,999.4166666666666,1
12856,Sri Lanka,14991.25,1
15951,Sri Lanka,9994.166666666666,1
16106,Sri Lanka,7995.333333333333,1
16851,Sri Lanka,2998.25,3
17172,Sri Lanka,11993.0,2
19768,Sri Lanka,11993.0,5
20217,Sri Lanka,13991.833333333332,8
20277,Sri Lanka,19988.333333333332,5
20321,Sri Lanka,19988.333333333332,10
20535,Sri Lanka,6995.916666666666,3
20675,Sri Lanka,19988.333333333332,5
20837,Sri Lanka,3497.958333333333,6
21434,Sri Lanka,9494.458333333332,4
22097,Sri Lanka,8994.75,4
22493,Sri Lanka,9994.166666666666,3
23811,Sri Lanka,39.97666666666667,1
25494,Sri Lanka,6496.208333333333,2
26969,Sri Lanka,9994.166666666666,3
29436,Sri Lanka,38.277658333333335,1
30380,Sri Lanka,14991.25,8
30988,Sri Lanka,14991.25,4
31308,Sri Lanka,76.95508333333333,4
33574,Sri Lanka,5996.5,3
33706,Sri Lanka,8495.041666666666,5
34870,Sri Lanka,13991.833333333332,5
34937,Sri Lanka,11993.0,2
37198,Sri Lanka,3997.6666666666665,4
37397,Sri Lanka,6496.208333333333,1
37662,Sri Lanka,999.4166666666666,2
44193,Sri Lanka,3997.6666666666665,2
45115,Sri Lanka,5996.5,2
45823,Sri Lanka,299.825,5
45989,Sri Lanka,4797.2,1
47072,Sri Lanka,4997.083333333333,5
47656,Sri Lanka,10993.583333333332,6
47773,Sri Lanka,98.94225,4
48300,Sri Lanka,39.97666666666667,3
51401,Sri Lanka,49.57106666666667,5
51738,Sri Lanka,9994.166666666666,8
51918,Sri Lanka,5196.966666666666,1
53667,Sri Lanka,1499.125,1
53753,Sri Lanka,1499.125,1
53903,Sri Lanka,5496.791666666666,2
53942,Sri Lanka,2998.25,1
54383,Sri Lanka,4497.375,3
58021,Sri Lanka,2998.25,1
58118,Sri Lanka,6496.208333333333,3
58253,Sri Lanka,8994.75,3
58261,Sri Lanka,5996.5,2
58526,Sri Lanka,49.97083333333333,3
58529,Sri Lanka,66.16138333333333,5
58595,Sri Lanka,6995.916666666666,5
59564,Sri Lanka,4997.083333333333,2
63542,Sri Lanka,3997.6666666666665,1
