,Country,Monthly_Sal_EUR,EdLevel
148,Sri Lanka,299.825,Master's degree
1580,Sri Lanka,17989.5,Bachelor's degree
3250,Sri Lanka,16490.375,Bachelor's degree
3493,Sri Lanka,9994.166666666666,Bachelor's degree
3496,Sri Lanka,2498.5416666666665,Bachelor's degree
3716,Sri Lanka,14991.25,Bachelor's degree
3732,Sri Lanka,19988.333333333332,Master's degree
3981,Sri Lanka,9994.166666666666,Master's degree
4022,Sri Lanka,17489.791666666664,Bachelor's degree
4071,Sri Lanka,9994.166666666666,Master's degree
4632,Sri Lanka,18489.208333333332,Master's degree
5029,Sri Lanka,18089.441666666666,Bachelor's degree
5192,Sri Lanka,3997.6666666666665,Secondary school
6241,Sri Lanka,9994.166666666666,college/university without bachelor's degree
8119,Sri Lanka,8994.75,Bachelor's degree
10216,Sri Lanka,19988.333333333332,Bachelor's degree
10359,Sri Lanka,17989.5,Bachelor's degree
10535,Sri Lanka,9994.166666666666,Master's degree
10603,Sri Lanka,17489.791666666664,Bachelor's degree
10692,Sri Lanka,17489.791666666664,Bachelor's degree
10913,Sri Lanka,99.94166666666666,Master's degree
11026,Sri Lanka,6995.916666666666,Bachelor's degree
11048,Sri Lanka,7495.625,Bachelor's degree
11102,Sri Lanka,18789.033333333333,Bachelor's degree
12122,Sri Lanka,17489.791666666664,college/university without bachelor's degree
12996,Sri Lanka,2498.5416666666665,Bachelor's degree
13547,Sri Lanka,4497.375,Bachelor's degree
13848,Sri Lanka,9994.166666666666,Bachelor's degree
15405,Sri Lanka,15990.666666666666,Bachelor's degree
16404,Sri Lanka,7495.625,Bachelor's degree
16537,Sri Lanka,4997.083333333333,Bachelor's degree
16834,Sri Lanka,17989.5,Bachelor's degree
17990,Sri Lanka,12992.416666666666,Bachelor's degree
18408,Sri Lanka,11993.0,Bachelor's degree
18798,Sri Lanka,19488.625,Bachelor's degree
19168,Sri Lanka,12992.416666666666,Bachelor's degree
19606,Sri Lanka,7595.566666666667,Bachelor's degree
19688,Sri Lanka,19988.333333333332,Bachelor's degree
20238,Sri Lanka,12492.708333333332,Bachelor's degree
20347,Sri Lanka,14991.25,Bachelor's degree
20905,Sri Lanka,11493.291666666666,Bachelor's degree
22098,Sri Lanka,9994.166666666666,Bachelor's degree
22318,Sri Lanka,19988.333333333332,Bachelor's degree
22479,Sri Lanka,2998.25,Bachelor's degree
22522,Sri Lanka,499.7083333333333,Bachelor's degree
22895,Sri Lanka,99.94166666666666,Bachelor's degree
22915,Sri Lanka,17989.5,Bachelor's degree
22964,Sri Lanka,19988.333333333332,Master's degree
23145,Sri Lanka,10993.583333333332,Something else
23357,Sri Lanka,79.95333333333333,college/university without bachelor's degree
23636,Sri Lanka,199.88333333333333,Bachelor's degree
24201,Sri Lanka,99.94166666666666,college/university without bachelor's degree
25353,Sri Lanka,15490.958333333332,Master's degree
25358,Sri Lanka,5496.791666666666,Bachelor's degree
25736,Sri Lanka,19988.333333333332,Bachelor's degree
25989,Sri Lanka,9994.166666666666,Bachelor's degree
27037,Sri Lanka,9994.166666666666,Bachelor's degree
28723,Sri Lanka,15990.666666666666,Master's degree
28744,Sri Lanka,10993.583333333332,college/university without bachelor's degree
30915,Sri Lanka,5996.5,Bachelor's degree
31096,Sri Lanka,16990.083333333332,Secondary school
