,Country,Monthly_Sal_EUR,YearsCodePro
468,Sweden,3479.8501131221715,8.0
1893,Sweden,2598.2880844645565,2.0
3073,Sweden,4825.392156862745,13.0
3223,Sweden,3201.4621040724005,5.0
3746,Sweden,4094.9820788530496,7.0
4597,Sweden,39.90228129713425,4.0
5141,Sweden,4268.6161387631955,11.0
9686,Sweden,2412.6960784313765,1.0
9893,Sweden,3493.7695135746635,9.0
11901,Sweden,2839.5576923076906,1.0
13773,Sweden,2412.6960784313765,6.0
15406,Sweden,4175.820135746606,13.0
26984,Sweden,3619.0441176470563,12.0
30564,Sweden,4480.2867383512585,3.0
34086,Sweden,4175.820135746606,7.0
40031,Sweden,3247.8601055806957,5.0
40264,Sweden,3155.0641025641053,9.0
40939,Sweden,64.95720211161391,19.0
41323,Sweden,3572.6461161387615,16.0
41911,Sweden,2691.0840874811465,1.0
43330,Sweden,2737.4820889894418,4.0
44293,Sweden,2134.3080693815978,2.0
45286,Sweden,3155.0641025641053,4.0
46946,Sweden,2319.900075414778,1.0
48326,Sweden,3340.656108597286,5.0
49172,Sweden,3062.2680995475075,3.0
49628,Sweden,3851.0341251885393,4.0
