,Country,Monthly_Sal_EUR,EdLevel
417,Switzerland,9378.526,college/university without bachelor's degree
556,Switzerland,10420.817641666667,Doctoral degree
667,Switzerland,10420.817641666667,Doctoral degree
779,Switzerland,9899.821733333334,Bachelor's degree
880,Switzerland,10160.369658333333,Master's degree
891,Switzerland,12505.001158333333,Master's degree
1104,Switzerland,6877.9855,Master's degree
1678,Switzerland,5002.2803,Master's degree
1684,Switzerland,5751.842799999999,college/university without bachelor's degree
1699,Switzerland,10254.015,college/university without bachelor's degree
1838,Switzerland,1500.3242999999998,Associate degree
1864,Switzerland,8878.4179,Bachelor's degree
1917,Switzerland,12505.001158333333,Master's degree
1999,Switzerland,10420.817641666667,Master's degree
2100,Switzerland,6502.6046,Master's degree
2229,Switzerland,12505.001158333333,Doctoral degree
2298,Switzerland,10420.817641666667,Bachelor's degree
2423,Switzerland,8753.490816666666,Bachelor's degree
2599,Switzerland,750.7618,Secondary school
2694,Switzerland,13026.097008333332,Master's degree
2775,Switzerland,6773.546458333332,Master's degree
3014,Switzerland,1062.5798,Secondary school
3033,Switzerland,5002.2803,Bachelor's degree
3315,Switzerland,9118.2779,Master's degree
3446,Switzerland,6251.9509,Bachelor's degree
3528,Switzerland,12505.001158333333,Master's degree
3855,Switzerland,8764.4844,Doctoral degree
3931,Switzerland,13651.332075,Master's degree
3962,Switzerland,13590.667483333333,Master's degree
4027,Switzerland,10004.5606,college/university without bachelor's degree
4054,Switzerland,10420.817641666667,Secondary school
4269,Switzerland,12505.001158333333,Bachelor's degree
4322,Switzerland,1062.5798,Bachelor's degree
4626,Switzerland,7086.163991666666,Master's degree
4668,Switzerland,10420.817641666667,Master's degree
5034,Switzerland,9899.821733333334,Bachelor's degree
5082,Switzerland,9170.347508333332,Bachelor's degree
5298,Switzerland,12505.001158333333,Master's degree
5357,Switzerland,12921.85785,college/university without bachelor's degree
5389,Switzerland,1875.7051999999999,Secondary school
5418,Switzerland,9378.725883333333,Master's degree
5466,Switzerland,1375.5971,Primary/elementary school
6111,Switzerland,14380.8063,Bachelor's degree
6138,Switzerland,14589.184674999999,Doctoral degree
6140,Switzerland,3962.4872,Secondary school
6683,Switzerland,10941.913491666666,college/university without bachelor's degree
6684,Switzerland,11254.531025,Bachelor's degree
6747,Switzerland,7086.163991666666,Associate degree
6754,Switzerland,1875.7051999999999,Secondary school
6825,Switzerland,19507.8138,Secondary school
6837,Switzerland,10420.817641666667,Doctoral degree
6855,Switzerland,11462.909399999999,Bachelor's degree
6877,Switzerland,13755.571233333332,Bachelor's degree
