,Country,Monthly_Sal_EUR,EdLevel
5158,Taiwan,3997.6666666666665,Master's degree
5370,Taiwan,7995.333333333333,Bachelor's degree
5984,Taiwan,3997.6666666666665,Master's degree
6085,Taiwan,499.7083333333333,Bachelor's degree
6464,Taiwan,4997.083333333333,Bachelor's degree
6943,Taiwan,4797.2,Bachelor's degree
7099,Taiwan,7995.333333333333,Master's degree
7568,Taiwan,9994.166666666666,Bachelor's degree
7610,Taiwan,5496.791666666666,Master's degree
8024,Taiwan,9994.166666666666,Bachelor's degree
10747,Taiwan,3827.7658333333334,Professional degree
14059,Taiwan,4197.549999999999,Bachelor's degree
14195,Taiwan,4097.608333333334,Bachelor's degree
19937,Taiwan,4997.083333333333,Bachelor's degree
19938,Taiwan,9494.458333333332,Master's degree
20164,Taiwan,7495.625,Master's degree
20252,Taiwan,6596.15,Bachelor's degree
21289,Taiwan,19988.333333333332,Master's degree
21602,Taiwan,5996.5,college/university without bachelor's degree
26932,Taiwan,4497.375,Master's degree
27062,Taiwan,4697.258333333333,Bachelor's degree
30070,Taiwan,11993.0,Master's degree
34639,Taiwan,5196.966666666666,college/university without bachelor's degree
34671,Taiwan,5146.995833333333,Master's degree
36519,Taiwan,1.4991249999999998,Bachelor's degree
37314,Taiwan,6995.916666666666,Master's degree
45733,Taiwan,14991.25,Bachelor's degree
50556,Taiwan,6496.208333333333,Bachelor's degree
53317,Taiwan,4597.316666666667,Bachelor's degree
53344,Taiwan,8445.070833333333,Associate degree
53357,Taiwan,3697.8416666666662,Master's degree
53375,Taiwan,447.23895833333336,Master's degree
53385,Taiwan,4997.083333333333,Bachelor's degree
53482,Taiwan,519.6966666666667,Bachelor's degree
62270,Taiwan,3398.016666666667,Bachelor's degree
