,Country,Monthly_Sal_EUR,YearsCodePro
5741,Thailand,4364.152758333334,2
5937,Thailand,11993.0,18
5972,Thailand,174.89791666666667,1
6659,Thailand,9994.166666666666,6
6902,Thailand,13791.949999999999,10
7171,Thailand,13991.833333333332,6
7337,Thailand,2898.3083333333334,3
7768,Thailand,9994.166666666666,3
9371,Thailand,12992.416666666666,5
9646,Thailand,2998.25,2
9731,Thailand,12992.416666666666,6
10489,Thailand,11993.0,10
17762,Thailand,1149.3291666666667,30
19759,Thailand,19388.683333333334,33
20186,Thailand,13991.833333333332,10
20708,Thailand,199.88333333333333,4
24977,Thailand,4997.083333333333,4
27369,Thailand,12992.416666666666,3
27533,Thailand,5454.016633333333,10
28121,Thailand,2998.25,1
28711,Thailand,4297.491666666667,4
34668,Thailand,3797.7833333333333,4
36697,Thailand,8994.75,10
36727,Thailand,5996.5,1
37054,Thailand,2798.366666666667,2
40295,Thailand,4497.375,3
45780,Thailand,5996.5,5
47560,Thailand,18739.0625,7
51286,Thailand,4097.608333333334,5
51840,Thailand,16990.083333333332,23
51842,Thailand,1499.125,1
53480,Thailand,4997.083333333333,21
53490,Thailand,1499.125,2
53506,Thailand,7692.510083333333,13
54327,Thailand,3198.133333333333,3
57832,Thailand,3997.6666666666665,25
57897,Thailand,3198.133333333333,2
58274,Thailand,7995.333333333333,20
58519,Thailand,999.4166666666666,2
58661,Thailand,5496.791666666666,3
59912,Thailand,2898.3083333333334,1
62489,Thailand,2998.25,1
