,Country,Monthly_Sal_EUR,YearsCodePro
1015,The former Yugoslav Republic of Macedonia,5496.791666666666,2
4865,The former Yugoslav Republic of Macedonia,1798.95,1
6283,The former Yugoslav Republic of Macedonia,7195.8,5
9617,The former Yugoslav Republic of Macedonia,269.8425,2
12686,The former Yugoslav Republic of Macedonia,99.94166666666666,4
14830,The former Yugoslav Republic of Macedonia,1199.3,1
15589,The former Yugoslav Republic of Macedonia,3398.016666666667,1
18308,The former Yugoslav Republic of Macedonia,3073.2062499999997,1
20693,The former Yugoslav Republic of Macedonia,3398.016666666667,2
23188,The former Yugoslav Republic of Macedonia,199.88333333333333,12
24172,The former Yugoslav Republic of Macedonia,19988.333333333332,7
25973,The former Yugoslav Republic of Macedonia,179.895,12
27939,The former Yugoslav Republic of Macedonia,119.93,7
28107,The former Yugoslav Republic of Macedonia,15990.666666666666,12
28537,The former Yugoslav Republic of Macedonia,499.7083333333333,3
28881,The former Yugoslav Republic of Macedonia,99.94166666666666,1
33969,The former Yugoslav Republic of Macedonia,14191.716666666667,6
37057,The former Yugoslav Republic of Macedonia,7995.333333333333,5
41025,The former Yugoslav Republic of Macedonia,199.88333333333333,5
42727,The former Yugoslav Republic of Macedonia,8994.75,1
44043,The former Yugoslav Republic of Macedonia,249.85416666666666,8
48784,The former Yugoslav Republic of Macedonia,164.90375,7
48878,The former Yugoslav Republic of Macedonia,13192.3,30
51250,The former Yugoslav Republic of Macedonia,479.72,10
55943,The former Yugoslav Republic of Macedonia,119.93,5
56127,The former Yugoslav Republic of Macedonia,324.81041666666664,15
63228,The former Yugoslav Republic of Macedonia,8894.808333333332,5
66050,The former Yugoslav Republic of Macedonia,77.654675,3
71967,The former Yugoslav Republic of Macedonia,5996.5,6
74244,The former Yugoslav Republic of Macedonia,11993.0,12
74819,The former Yugoslav Republic of Macedonia,3073.2062499999997,1
81920,The former Yugoslav Republic of Macedonia,7495.625,5
