,Country,Monthly_Sal_EUR,YearsCodePro
6870,Trinidad and Tobago,1299.2416666666666,17
9923,Trinidad and Tobago,749.5625,6
19902,Trinidad and Tobago,99.94166666666666,32
20723,Trinidad and Tobago,1599.0666666666666,2
26845,Trinidad and Tobago,499.7083333333333,3
27476,Trinidad and Tobago,1459.148333333333,6
43706,Trinidad and Tobago,11993.0,18
52634,Trinidad and Tobago,259.84833333333336,14
62872,Trinidad and Tobago,1499.125,17
66900,Trinidad and Tobago,2448.570833333333,3
81259,Trinidad and Tobago,499.7083333333333,2
