,Country,Monthly_Sal_EUR,EdLevel
4121,Tunisia,99.94166666666666,Master's degree
4940,Tunisia,299.825,Master's degree
6397,Tunisia,3597.9,Master's degree
8826,Tunisia,129.92416666666668,Master's degree
9085,Tunisia,44.97375,Bachelor's degree
10486,Tunisia,699.5916666666667,Master's degree
15175,Tunisia,159.90666666666667,Professional degree
15804,Tunisia,64.96208333333334,Master's degree
18254,Tunisia,149.9125,Master's degree
18482,Tunisia,2998.25,college/university without bachelor's degree
19765,Tunisia,99.94166666666666,Master's degree
20005,Tunisia,169.9008333333333,Master's degree
24293,Tunisia,209.8775,Professional degree
28161,Tunisia,188.88975,Bachelor's degree
28188,Tunisia,199.88333333333333,Master's degree
29034,Tunisia,64.96208333333334,Master's degree
31927,Tunisia,104.93875,Master's degree
36678,Tunisia,139.91833333333332,Master's degree
40083,Tunisia,169.9008333333333,Professional degree
40451,Tunisia,79.95333333333333,Bachelor's degree
41558,Tunisia,119.93,Master's degree
42004,Tunisia,299.825,college/university without bachelor's degree
44483,Tunisia,89.9475,Master's degree
44740,Tunisia,699.5916666666667,Master's degree
44947,Tunisia,199.88333333333333,Professional degree
47790,Tunisia,129.92416666666668,Master's degree
52891,Tunisia,149.9125,Professional degree
53482,Tunisia,164.90375,Master's degree
53686,Tunisia,2498.5416666666665,Master's degree
55678,Tunisia,99.94166666666666,Master's degree
57539,Tunisia,99.94166666666666,Bachelor's degree
58791,Tunisia,119.93,Master's degree
60469,Tunisia,205.67995,Master's degree
64529,Tunisia,131.923,Master's degree
64689,Tunisia,249.85416666666666,Master's degree
66224,Tunisia,139.91833333333332,Master's degree
69076,Tunisia,99.94166666666666,Bachelor's degree
70795,Tunisia,49.97083333333333,Master's degree
76976,Tunisia,899.475,Professional degree
77199,Tunisia,199.88333333333333,Master's degree
77362,Tunisia,69.95916666666666,Bachelor's degree
78540,Tunisia,149.9125,Bachelor's degree
78755,Tunisia,499.7083333333333,Professional degree
80465,Tunisia,229.8658333333333,Bachelor's degree
81673,Tunisia,129.92416666666668,Bachelor's degree
82030,Tunisia,109.93583333333333,Master's degree
83879,Tunisia,359.79,Bachelor's degree
87238,Tunisia,159.90666666666667,Professional degree
87719,Tunisia,159.90666666666667,Bachelor's degree
88285,Tunisia,11493.291666666666,Master's degree
88313,Tunisia,49.97083333333333,Master's degree
