,Country,Monthly_Sal_EUR,EdLevel
122,Turkey,799.5333333333333,Bachelor's degree
632,Turkey,999.4166666666666,Master's degree
696,Turkey,999.4166666666666,Bachelor's degree
715,Turkey,15990.666666666666,Bachelor's degree
800,Turkey,1199.3,Doctoral degree
964,Turkey,819.5216666666666,Doctoral degree
1009,Turkey,249.85416666666666,Bachelor's degree
1070,Turkey,499.7083333333333,college/university without bachelor's degree
1084,Turkey,559.6733333333333,college/university without bachelor's degree
1669,Turkey,19428.66,Bachelor's degree
1702,Turkey,549.6791666666667,college/university without bachelor's degree
1776,Turkey,499.7083333333333,Bachelor's degree
2137,Turkey,749.5625,Bachelor's degree
2282,Turkey,1249.2708333333333,Bachelor's degree
2293,Turkey,499.7083333333333,Bachelor's degree
2429,Turkey,999.4166666666666,Master's degree
2503,Turkey,679.6033333333332,Bachelor's degree
2806,Turkey,819.5216666666666,Master's degree
3197,Turkey,699.5916666666667,Bachelor's degree
3355,Turkey,1798.95,Bachelor's degree
3756,Turkey,549.6791666666667,college/university without bachelor's degree
3805,Turkey,674.60625,college/university without bachelor's degree
4207,Turkey,459.7316666666666,Secondary school
4406,Turkey,799.5333333333333,Master's degree
4522,Turkey,2278.67,Bachelor's degree
4742,Turkey,1399.1833333333334,college/university without bachelor's degree
4997,Turkey,649.6208333333333,Bachelor's degree
5207,Turkey,1521.2121083333334,Bachelor's degree
5318,Turkey,519.6966666666667,Bachelor's degree
5404,Turkey,13991.833333333332,Master's degree
5534,Turkey,899.475,college/university without bachelor's degree
6153,Turkey,5996.5,Bachelor's degree
6238,Turkey,699.5916666666667,Bachelor's degree
6307,Turkey,399.76666666666665,Doctoral degree
6383,Turkey,1299.2416666666666,Bachelor's degree
6449,Turkey,949.4458333333333,Bachelor's degree
6604,Turkey,1748.9791666666665,Master's degree
6788,Turkey,9594.4,Master's degree
6827,Turkey,1299.2416666666666,Bachelor's degree
6832,Turkey,569.6675,Master's degree
7150,Turkey,299.825,Associate degree
7293,Turkey,649.6208333333333,Bachelor's degree
7372,Turkey,17989.5,Bachelor's degree
7462,Turkey,599.65,Bachelor's degree
7525,Turkey,1199.3,Master's degree
7674,Turkey,899.475,Bachelor's degree
7695,Turkey,399.76666666666665,Bachelor's degree
7742,Turkey,149.9125,Associate degree
7797,Turkey,199.88333333333333,Bachelor's degree
7976,Turkey,989.4224999999999,Bachelor's degree
7985,Turkey,799.5333333333333,Bachelor's degree
8578,Turkey,249.85416666666666,college/university without bachelor's degree
8726,Turkey,799.5333333333333,Bachelor's degree
8736,Turkey,549.6791666666667,Bachelor's degree
8948,Turkey,1299.2416666666666,Bachelor's degree
9168,Turkey,749.5625,Bachelor's degree
9294,Turkey,849.5041666666667,Bachelor's degree
9344,Turkey,579.6616666666666,Bachelor's degree
9429,Turkey,899.475,Bachelor's degree
9569,Turkey,509.7025,Bachelor's degree
9934,Turkey,199.88333333333333,Secondary school
10441,Turkey,1199.3,Bachelor's degree
10726,Turkey,7995.333333333333,Bachelor's degree
10802,Turkey,749.5625,Bachelor's degree
11096,Turkey,699.5916666666667,Bachelor's degree
11402,Turkey,999.4166666666666,Doctoral degree
11421,Turkey,899.475,Master's degree
11667,Turkey,519.6966666666667,Associate degree
11837,Turkey,1599.0666666666666,Bachelor's degree
12023,Turkey,999.4166666666666,Bachelor's degree
12661,Turkey,599.65,Bachelor's degree
12702,Turkey,499.7083333333333,Bachelor's degree
12726,Turkey,1299.2416666666666,Bachelor's degree
12800,Turkey,799.5333333333333,Bachelor's degree
