,Country,Monthly_Sal_EUR,YearsCodePro
16,Turkey,899.475,2
33,Turkey,599.65,2
337,Turkey,1798.95,3
465,Turkey,999.4166666666666,3
532,Turkey,10993.583333333332,2
708,Turkey,499.7083333333333,2
710,Turkey,599.65,2
762,Turkey,3837.76,4
919,Turkey,235.8623333333333,10
1180,Turkey,3198.133333333333,26
1291,Turkey,1265.2615,14
1420,Turkey,5996.5,1
1550,Turkey,599.65,12
1781,Turkey,1399.1833333333334,1
1826,Turkey,1299.2416666666666,4
1965,Turkey,999.4166666666666,5
2077,Turkey,299.825,2
2124,Turkey,2498.5416666666665,1
2603,Turkey,3497.958333333333,8
2890,Turkey,249.85416666666666,2
2960,Turkey,99.94166666666666,1
3154,Turkey,4997.083333333333,13
3240,Turkey,499.7083333333333,2
3379,Turkey,1798.95,2
3508,Turkey,1299.2416666666666,3
3599,Turkey,499.7083333333333,1
4219,Turkey,139.91833333333332,5
4364,Turkey,1998.8333333333333,14
4397,Turkey,1099.3583333333333,13
4427,Turkey,3997.6666666666665,4
4477,Turkey,109.93583333333333,1
4507,Turkey,5496.791666666666,2
4513,Turkey,1998.8333333333333,12
4516,Turkey,574.6645833333333,2
4572,Turkey,2298.6583333333333,8
4576,Turkey,929.4575,3
4578,Turkey,1599.0666666666666,2
4618,Turkey,8994.75,21
4620,Turkey,349.79583333333335,1
4643,Turkey,1199.3,3
4674,Turkey,899.475,1
4685,Turkey,1299.2416666666666,8
4690,Turkey,999.4166666666666,20
4713,Turkey,1299.2416666666666,4
4767,Turkey,374.78125,12
4789,Turkey,1199.3,7
4807,Turkey,2998.25,15
4869,Turkey,899.475,2
4878,Turkey,574.6645833333333,6
4898,Turkey,1049.3874999999998,1
4954,Turkey,749.5625,3
4973,Turkey,1599.0666666666666,5
5019,Turkey,639.6266666666667,3
5054,Turkey,2298.6583333333333,6
5134,Turkey,499.7083333333333,1
5161,Turkey,849.5041666666667,3
5202,Turkey,2398.6,8
5259,Turkey,664.6120833333333,1
5360,Turkey,499.7083333333333,4
5510,Turkey,574.6645833333333,2
5525,Turkey,666.1112083333333,2
5547,Turkey,1199.3,3
5572,Turkey,474.72291666666666,2
5622,Turkey,1998.8333333333333,5
5675,Turkey,1199.3,3
5685,Turkey,999.4166666666666,4
5703,Turkey,999.4166666666666,13
5725,Turkey,299.825,3
5902,Turkey,1499.125,9
5928,Turkey,799.5333333333333,8
5950,Turkey,1998.8333333333333,2
6042,Turkey,13192.3,3
6322,Turkey,499.7083333333333,1
6365,Turkey,1249.2708333333333,3
6432,Turkey,1099.3583333333333,7
6743,Turkey,1599.0666666666666,7
6997,Turkey,1599.0666666666666,3
7035,Turkey,2498.5416666666665,3
7072,Turkey,2098.7749999999996,12
7418,Turkey,699.5916666666667,2
7496,Turkey,299.825,3
7590,Turkey,1249.2708333333333,5
7605,Turkey,249.85416666666666,3
7706,Turkey,1349.2125,9
7747,Turkey,999.4166666666666,15
7826,Turkey,1599.0666666666666,12
7902,Turkey,2498.5416666666665,12
8092,Turkey,2998.25,13
8271,Turkey,2498.5416666666665,5
8422,Turkey,1499.125,6
9199,Turkey,899.475,3
9345,Turkey,399.76666666666665,7
9377,Turkey,14991.25,1
11410,Turkey,3997.6666666666665,12
11969,Turkey,279.83666666666664,9
12006,Turkey,1798.95,12
12118,Turkey,799.5333333333333,3
12168,Turkey,2498.5416666666665,4
12172,Turkey,799.5333333333333,2
12366,Turkey,719.58,4
12371,Turkey,499.7083333333333,2
12521,Turkey,1199.3,3
12843,Turkey,439.74333333333334,1
12904,Turkey,2948.2791666666662,9
13041,Turkey,449.7375,11
13152,Turkey,599.65,2
13269,Turkey,999.4166666666666,6
13339,Turkey,499.7083333333333,2
13356,Turkey,2498.5416666666665,12
13436,Turkey,1499.125,2
13864,Turkey,309.81916666666666,1
13944,Turkey,699.5916666666667,14
14019,Turkey,749.5625,2
14180,Turkey,599.65,2
14658,Turkey,1599.0666666666666,3
15120,Turkey,1299.2416666666666,5
15139,Turkey,499.7083333333333,2
15141,Turkey,449.7375,3
15218,Turkey,2352.027183333333,9
15297,Turkey,3497.958333333333,12
15317,Turkey,1099.3583333333333,3
15440,Turkey,2498.5416666666665,4
15675,Turkey,1599.0666666666666,2
15885,Turkey,899.475,22
16151,Turkey,9994.166666666666,2
16657,Turkey,1199.3,5
16702,Turkey,589.6558333333332,1
16856,Turkey,999.4166666666666,2
17036,Turkey,699.5916666666667,3
17065,Turkey,799.5333333333333,4
17092,Turkey,1599.0666666666666,9
17319,Turkey,449.7375,2
17336,Turkey,1499.125,6
17414,Turkey,349.79583333333335,7
17659,Turkey,374.78125,2
17744,Turkey,999.4166666666666,7
18119,Turkey,1798.95,3
18656,Turkey,499.7083333333333,5
19386,Turkey,699.5916666666667,1
19630,Turkey,3497.958333333333,9
19684,Turkey,1699.0083333333334,8
19712,Turkey,1299.2416666666666,24
19892,Turkey,1099.3583333333333,9
20063,Turkey,1199.3,3
20134,Turkey,1649.0375,7
20138,Turkey,349.79583333333335,4
20688,Turkey,2898.3083333333334,9
20749,Turkey,1649.0375,13
20809,Turkey,4197.549999999999,7
20914,Turkey,3997.6666666666665,9
21048,Turkey,249.85416666666666,6
21146,Turkey,1699.0083333333334,11
21185,Turkey,819.5216666666666,5
21387,Turkey,1998.8333333333333,15
21440,Turkey,1199.3,7
22162,Turkey,0.9994166666666666,21
22695,Turkey,999.4166666666666,17
22921,Turkey,1199.3,10
23038,Turkey,949.4458333333333,6
23166,Turkey,299.825,1
23310,Turkey,1199.3,7
23427,Turkey,999.4166666666666,16
23463,Turkey,679.6033333333332,11
23472,Turkey,299.825,27
23511,Turkey,7195.8,1
23579,Turkey,1998.8333333333333,9
23675,Turkey,949.4458333333333,5
23791,Turkey,1199.3,6
23801,Turkey,399.76666666666665,10
23958,Turkey,999.4166666666666,10
24079,Turkey,549.6791666666667,3
24139,Turkey,859.4983333333332,5
