,Country,Monthly_Sal_EUR,YearsCodePro
149,Ukraine,1998.8333333333333,8
641,Ukraine,5996.5,4
1535,Ukraine,9994.166666666666,4
1762,Ukraine,11993.0,11
1772,Ukraine,949.4458333333333,15
2190,Ukraine,2498.5416666666665,2
2318,Ukraine,7995.333333333333,4
2966,Ukraine,4997.083333333333,9
3051,Ukraine,399.76666666666665,9
3107,Ukraine,429.7491666666666,15
3125,Ukraine,4997.083333333333,4
3384,Ukraine,12492.708333333332,6
3470,Ukraine,439.74333333333334,15
3501,Ukraine,5496.791666666666,2
3524,Ukraine,6995.916666666666,10
3593,Ukraine,699.5916666666667,17
3770,Ukraine,129.92416666666668,3
3920,Ukraine,3248.1041666666665,5
4076,Ukraine,5496.791666666666,3
4206,Ukraine,349.79583333333335,5
4461,Ukraine,354.79291666666666,18
4664,Ukraine,9994.166666666666,5
6960,Ukraine,399.76666666666665,6
7188,Ukraine,1898.8916666666667,3
7397,Ukraine,7495.625,7
8016,Ukraine,2498.5416666666665,1
8269,Ukraine,10493.875,5
8455,Ukraine,9994.166666666666,15
8606,Ukraine,11993.0,12
8629,Ukraine,149.9125,16
9590,Ukraine,5496.791666666666,6
9876,Ukraine,3497.958333333333,15
10314,Ukraine,449.7375,4
10320,Ukraine,2798.366666666667,10
10359,Ukraine,9494.458333333332,3
10565,Ukraine,1998.8333333333333,1
10566,Ukraine,5996.5,13
10576,Ukraine,1798.95,1
10578,Ukraine,1998.8333333333333,4
10590,Ukraine,6995.916666666666,4
10614,Ukraine,11322.291475,4
10617,Ukraine,119.93,1
10626,Ukraine,10993.583333333332,5
10653,Ukraine,149.9125,3
10790,Ukraine,4997.083333333333,7
10945,Ukraine,9994.166666666666,20
10954,Ukraine,17989.5,10
11006,Ukraine,2498.5416666666665,10
11096,Ukraine,4997.083333333333,3
11104,Ukraine,11493.291666666666,8
11164,Ukraine,229.8658333333333,2
11225,Ukraine,9994.166666666666,5
11279,Ukraine,6496.208333333333,15
11280,Ukraine,229.8658333333333,2
11353,Ukraine,2698.425,13
11594,Ukraine,6696.091666666667,8
11629,Ukraine,5396.85,6
11631,Ukraine,7495.625,10
11664,Ukraine,7145.829166666666,15
11705,Ukraine,249.85416666666666,16
11770,Ukraine,6995.916666666666,4
11920,Ukraine,79.95333333333333,26
12057,Ukraine,2498.5416666666665,1
12193,Ukraine,9994.166666666666,14
12400,Ukraine,2498.5416666666665,34
12536,Ukraine,3497.958333333333,2
12556,Ukraine,3779.793833333333,1
13002,Ukraine,8994.75,7
13479,Ukraine,3997.6666666666665,2
13492,Ukraine,8994.75,10
13495,Ukraine,10993.583333333332,11
