,Country,Monthly_Sal_EUR,YearsCodePro
425,United Arab Emirates,1224.2854166666666,6
6176,United Arab Emirates,4197.549999999999,9
11260,United Arab Emirates,999.4166666666666,7
11666,United Arab Emirates,1099.3583333333333,6
11879,United Arab Emirates,1299.2416666666666,13
12012,United Arab Emirates,1609.0608333333332,11
12697,United Arab Emirates,999.4166666666666,4
12721,United Arab Emirates,2423.585416666667,2
14426,United Arab Emirates,999.4166666666666,9
16625,United Arab Emirates,0.09994166666666666,5
16795,United Arab Emirates,649.6208333333333,7
22718,United Arab Emirates,9994.166666666666,5
23019,United Arab Emirates,799.5333333333333,10
23189,United Arab Emirates,599.65,5
23535,United Arab Emirates,374.78125,1
23761,United Arab Emirates,1099.3583333333333,4
24062,United Arab Emirates,2598.483333333333,8
25380,United Arab Emirates,2148.7458333333334,7
25453,United Arab Emirates,3572.914583333333,2
26202,United Arab Emirates,1998.8333333333333,13
26520,United Arab Emirates,749.5625,2
27574,United Arab Emirates,1299.2416666666666,17
27629,United Arab Emirates,899.475,11
27680,United Arab Emirates,1798.95,15
28102,United Arab Emirates,1998.8333333333333,15
28660,United Arab Emirates,799.5333333333333,7
32025,United Arab Emirates,916.1652583333332,13
33570,United Arab Emirates,2098.7749999999996,13
35431,United Arab Emirates,1998.8333333333333,12
38233,United Arab Emirates,1115.8487083333334,6
38327,United Arab Emirates,649.6208333333333,20
39273,United Arab Emirates,999.4166666666666,8
39280,United Arab Emirates,1699.0083333333334,8
39333,United Arab Emirates,1499.125,18
39478,United Arab Emirates,999.4166666666666,10
39487,United Arab Emirates,599.65,1
39551,United Arab Emirates,299.825,2
39863,United Arab Emirates,1499.125,3
40789,United Arab Emirates,599.65,2
40895,United Arab Emirates,2398.6,7
41558,United Arab Emirates,899.475,2
41607,United Arab Emirates,1499.125,11
42072,United Arab Emirates,2198.7166666666667,23
42106,United Arab Emirates,2498.5416666666665,16
43724,United Arab Emirates,1199.3,7
44959,United Arab Emirates,4447.404166666666,8
48169,United Arab Emirates,8395.099999999999,4
48408,United Arab Emirates,1998.8333333333333,17
48873,United Arab Emirates,4097.608333333334,15
53185,United Arab Emirates,999.4166666666666,14
53980,United Arab Emirates,849.5041666666667,5
54377,United Arab Emirates,1798.95,5
54511,United Arab Emirates,2798.366666666667,7
54573,United Arab Emirates,299.825,1
55703,United Arab Emirates,1299.2416666666666,8
58744,United Arab Emirates,149.9125,1
58972,United Arab Emirates,3497.958333333333,13
60617,United Arab Emirates,3670.3577083333334,10
60817,United Arab Emirates,1149.3291666666667,8
61490,United Arab Emirates,349.79583333333335,3
61574,United Arab Emirates,499.7083333333333,8
61624,United Arab Emirates,499.7083333333333,4
62658,United Arab Emirates,449.7375,1
63502,United Arab Emirates,3298.075,15
64734,United Arab Emirates,1699.0083333333334,2
65120,United Arab Emirates,449.7375,6
67394,United Arab Emirates,1499.125,6
67620,United Arab Emirates,599.65,12
70048,United Arab Emirates,3398.016666666667,11
70595,United Arab Emirates,499.7083333333333,2
70692,United Arab Emirates,1299.2416666666666,7
70825,United Arab Emirates,1998.8333333333333,20
71012,United Arab Emirates,599.65,7
71070,United Arab Emirates,499.7083333333333,3
73068,United Arab Emirates,1998.8333333333333,8
73238,United Arab Emirates,5836.593333333332,3
75766,United Arab Emirates,1798.95,9
77828,United Arab Emirates,399.76666666666665,5
78572,United Arab Emirates,699.5916666666667,5
78948,United Arab Emirates,4497.375,19
82058,United Arab Emirates,2498.5416666666665,6
82663,United Arab Emirates,2002.1314083333332,15
