,Country,Monthly_Sal_EUR,YearsCodePro
27,United Kingdom,5296.908333333333,21
55,United Kingdom,4997.083333333333,12
69,United Kingdom,9994.666375,18
88,United Kingdom,4747.229166666666,14
106,United Kingdom,4997.083333333333,3
136,United Kingdom,2998.25,3
152,United Kingdom,5415.938858333333,25
161,United Kingdom,5496.791666666666,22
180,United Kingdom,4697.258333333333,25
186,United Kingdom,6496.208333333333,13
210,United Kingdom,5996.5,14
211,United Kingdom,7995.333333333333,14
226,United Kingdom,7995.333333333333,7
261,United Kingdom,3877.7366666666667,3
275,United Kingdom,1499.125,2
290,United Kingdom,3747.8125,6
312,United Kingdom,3997.6666666666665,4
336,United Kingdom,4997.083333333333,7
406,United Kingdom,4297.491666666667,24
409,United Kingdom,5496.791666666666,27
413,United Kingdom,4697.258333333333,21
439,United Kingdom,11993.0,23
477,United Kingdom,4192.5529166666665,6
495,United Kingdom,5496.791666666666,5
540,United Kingdom,3847.7541666666666,10
588,United Kingdom,4937.118333333333,10
650,United Kingdom,2198.7166666666667,2
672,United Kingdom,3747.8125,3
675,United Kingdom,1499.125,1
703,United Kingdom,3797.7833333333333,4
759,United Kingdom,3997.6666666666665,6
791,United Kingdom,8994.75,22
800,United Kingdom,5496.791666666666,1
813,United Kingdom,3897.7250000000004,8
828,United Kingdom,5796.616666666667,2
877,United Kingdom,15990.666666666666,23
890,United Kingdom,6496.208333333333,3
968,United Kingdom,3997.6666666666665,4
1011,United Kingdom,5097.025,15
1025,United Kingdom,4497.375,9
1043,United Kingdom,5496.791666666666,5
1048,United Kingdom,3597.9,6
1050,United Kingdom,216.47365000000002,3
1088,United Kingdom,7995.333333333333,15
1111,United Kingdom,2998.25,38
1112,United Kingdom,6796.033333333334,9
1118,United Kingdom,14991.25,30
1129,United Kingdom,6895.974999999999,20
1139,United Kingdom,6396.266666666666,12
1203,United Kingdom,3997.6666666666665,15
1213,United Kingdom,4197.549999999999,45
1218,United Kingdom,9994.166666666666,6
1241,United Kingdom,6776.045,12
1249,United Kingdom,1599.0666666666666,4
1258,United Kingdom,2798.366666666667,2
1277,United Kingdom,4997.083333333333,10
1282,United Kingdom,9194.633333333333,4
1292,United Kingdom,11993.0,10
1321,United Kingdom,3797.7833333333333,16
1365,United Kingdom,10393.933333333332,12
1389,United Kingdom,3697.8416666666662,6
1391,United Kingdom,4997.083333333333,11
1432,United Kingdom,4597.316666666667,16
1474,United Kingdom,9194.633333333333,11
1492,United Kingdom,2998.25,1
1555,United Kingdom,4297.491666666667,7
1558,United Kingdom,199.88333333333333,2
1617,United Kingdom,9994.166666666666,5
1619,United Kingdom,5996.5,4
1628,United Kingdom,5996.5,11
1637,United Kingdom,4997.083333333333,2
1678,United Kingdom,14991.25,8
1700,United Kingdom,3997.6666666666665,9
1708,United Kingdom,324.81041666666664,18
1736,United Kingdom,3997.6666666666665,10
1771,United Kingdom,7995.333333333333,10
1782,United Kingdom,7495.625,5
1784,United Kingdom,5996.5,8
1822,United Kingdom,4997.083333333333,11
1828,United Kingdom,11993.0,13
