,Country,Monthly_Sal_EUR,EdLevel
6,United States,11993.0,college/university without bachelor's degree
23,United States,7495.625,college/university without bachelor's degree
32,United States,4397.433333333333,Bachelor's degree
33,United States,5996.5,Bachelor's degree
35,United States,7995.333333333333,Bachelor's degree
43,United States,7395.6833333333325,Bachelor's degree
46,United States,11493.291666666666,Master's degree
47,United States,6995.916666666666,Master's degree
49,United States,8994.75,Associate degree
51,United States,11493.291666666666,Bachelor's degree
62,United States,11993.0,Master's degree
73,United States,3597.9,Bachelor's degree
85,United States,7795.450000000001,Bachelor's degree
86,United States,11993.0,college/university without bachelor's degree
100,United States,14154.238541666668,Bachelor's degree
111,United States,11993.0,Bachelor's degree
117,United States,10993.583333333332,Bachelor's degree
140,United States,6995.916666666666,Bachelor's degree
150,United States,10493.875,Bachelor's degree
153,United States,10493.875,Associate degree
159,United States,11993.0,Bachelor's degree
166,United States,7695.508333333333,Associate degree
169,United States,9694.341666666667,college/university without bachelor's degree
178,United States,12492.708333333332,Master's degree
202,United States,9994.166666666666,Associate degree
204,United States,5996.5,Master's degree
235,United States,8095.275,Bachelor's degree
242,United States,6496.208333333333,Bachelor's degree
254,United States,5996.5,Bachelor's degree
259,United States,10493.875,Bachelor's degree
264,United States,9994.166666666666,Master's degree
272,United States,13991.833333333332,Master's degree
277,United States,5946.529166666667,Bachelor's degree
300,United States,7245.770833333333,Bachelor's degree
305,United States,7495.625,Bachelor's degree
307,United States,6995.916666666666,Master's degree
308,United States,18489.208333333332,Bachelor's degree
312,United States,12492.708333333332,Master's degree
313,United States,2498.5416666666665,Bachelor's degree
316,United States,3198.133333333333,Bachelor's degree
335,United States,12492.708333333332,Bachelor's degree
341,United States,15490.958333333332,college/university without bachelor's degree
347,United States,11293.408333333333,Doctoral degree
348,United States,12692.591666666667,Bachelor's degree
350,United States,4697.258333333333,Bachelor's degree
351,United States,10993.583333333332,college/university without bachelor's degree
354,United States,999.4166666666666,Associate degree
355,United States,6396.266666666666,Bachelor's degree
358,United States,8994.75,Bachelor's degree
362,United States,13991.833333333332,Bachelor's degree
363,United States,9594.4,Master's degree
371,United States,9454.481666666667,Bachelor's degree
387,United States,10493.875,Bachelor's degree
390,United States,7995.333333333333,Doctoral degree
401,United States,10593.816666666666,Bachelor's degree
421,United States,8994.75,Bachelor's degree
422,United States,9094.691666666666,Master's degree
424,United States,11193.466666666667,college/university without bachelor's degree
427,United States,11993.0,Master's degree
428,United States,12992.416666666666,Bachelor's degree
430,United States,7795.450000000001,college/university without bachelor's degree
443,United States,5496.791666666666,Bachelor's degree
445,United States,7495.625,Bachelor's degree
453,United States,6995.916666666666,Bachelor's degree
465,United States,5796.616666666667,Bachelor's degree
469,United States,5296.908333333333,Master's degree
472,United States,16200.544166666667,Master's degree
473,United States,6796.033333333334,Bachelor's degree
474,United States,7495.625,Bachelor's degree
487,United States,7995.333333333333,Bachelor's degree
536,United States,7995.333333333333,Bachelor's degree
537,United States,13642.0375,Master's degree
552,United States,10993.583333333332,Master's degree
555,United States,10493.875,Bachelor's degree
565,United States,5496.791666666666,Bachelor's degree
569,United States,15006.241250000001,Bachelor's degree
572,United States,6296.325000000001,Bachelor's degree
574,United States,12692.591666666667,Bachelor's degree
584,United States,12992.416666666666,Bachelor's degree
608,United States,8495.041666666666,Master's degree
613,United States,17489.791666666664,Bachelor's degree
616,United States,5796.616666666667,Bachelor's degree
618,United States,2998.25,college/university without bachelor's degree
622,United States,12492.708333333332,Bachelor's degree
632,United States,19988.333333333332,Bachelor's degree
634,United States,13991.833333333332,Bachelor's degree
637,United States,14191.716666666667,Bachelor's degree
638,United States,8794.866666666667,Bachelor's degree
655,United States,10993.583333333332,Bachelor's degree
670,United States,8295.158333333333,Bachelor's degree
671,United States,7195.8,college/university without bachelor's degree
674,United States,5296.908333333333,Bachelor's degree
675,United States,8495.041666666666,Bachelor's degree
678,United States,7495.625,Master's degree
690,United States,7195.8,Bachelor's degree
700,United States,11993.0,Master's degree
702,United States,10693.758333333333,Bachelor's degree
705,United States,10993.583333333332,college/university without bachelor's degree
708,United States,8495.041666666666,Bachelor's degree
712,United States,9594.4,Associate degree
717,United States,5996.5,college/university without bachelor's degree
718,United States,9394.516666666666,college/university without bachelor's degree
721,United States,649.6208333333333,Secondary school
727,United States,7595.566666666667,Bachelor's degree
733,United States,8495.041666666666,Bachelor's degree
737,United States,12992.416666666666,college/university without bachelor's degree
751,United States,9494.458333333332,Bachelor's degree
754,United States,7995.333333333333,Bachelor's degree
760,United States,5037.0599999999995,college/university without bachelor's degree
766,United States,12992.416666666666,college/university without bachelor's degree
767,United States,14091.775000000001,Bachelor's degree
775,United States,3997.6666666666665,Bachelor's degree
776,United States,10194.05,Bachelor's degree
784,United States,7495.625,Bachelor's degree
795,United States,12992.416666666666,Bachelor's degree
799,United States,8694.925,Bachelor's degree
818,United States,14991.25,Bachelor's degree
819,United States,13192.3,Bachelor's degree
822,United States,10693.758333333333,Bachelor's degree
827,United States,11493.291666666666,Bachelor's degree
840,United States,10194.05,college/university without bachelor's degree
843,United States,12222.865833333333,Bachelor's degree
847,United States,6846.004166666667,Bachelor's degree
861,United States,9394.516666666666,Bachelor's degree
863,United States,11993.0,Bachelor's degree
866,United States,16990.083333333332,college/university without bachelor's degree
883,United States,5996.5,Bachelor's degree
904,United States,9994.166666666666,Bachelor's degree
908,United States,11493.291666666666,Master's degree
912,United States,5196.966666666666,Bachelor's degree
916,United States,4125.192233333333,Master's degree
921,United States,19988.333333333332,college/university without bachelor's degree
939,United States,11993.0,Bachelor's degree
940,United States,12992.416666666666,Master's degree
943,United States,5696.675,Bachelor's degree
951,United States,8495.041666666666,Bachelor's degree
954,United States,9194.633333333333,Secondary school
956,United States,13991.833333333332,Bachelor's degree
966,United States,10493.875,Bachelor's degree
989,United States,3697.8416666666662,college/university without bachelor's degree
996,United States,9394.516666666666,Master's degree
1010,United States,14071.786666666667,Master's degree
1013,United States,6895.974999999999,Bachelor's degree
1014,United States,9494.458333333332,Master's degree
1015,United States,7795.450000000001,college/university without bachelor's degree
1019,United States,8994.75,Bachelor's degree
1023,United States,12992.416666666666,Bachelor's degree
1037,United States,6496.208333333333,Bachelor's degree
1041,United States,9494.458333333332,Bachelor's degree
1043,United States,11193.466666666667,Master's degree
1046,United States,1499.125,college/university without bachelor's degree
1049,United States,10993.583333333332,college/university without bachelor's degree
1059,United States,999.4166666666666,college/university without bachelor's degree
1061,United States,4347.4625,college/university without bachelor's degree
1062,United States,2084.4833416666665,Secondary school
1064,United States,6496.208333333333,Bachelor's degree
1079,United States,15391.016666666666,Bachelor's degree
1083,United States,5996.5,Bachelor's degree
1089,United States,15990.666666666666,Master's degree
1091,United States,14291.658333333333,Bachelor's degree
1099,United States,12992.416666666666,college/university without bachelor's degree
1100,United States,12992.416666666666,Bachelor's degree
1105,United States,1998.8333333333333,Master's degree
1108,United States,6995.916666666666,Bachelor's degree
1110,United States,11993.0,Master's degree
1128,United States,5996.5,Bachelor's degree
1129,United States,6396.266666666666,Bachelor's degree
1138,United States,7395.6833333333325,Bachelor's degree
1159,United States,6796.033333333334,Bachelor's degree
1161,United States,3997.6666666666665,college/university without bachelor's degree
1163,United States,8694.925,Bachelor's degree
1172,United States,8994.75,Bachelor's degree
1176,United States,5396.85,Bachelor's degree
1183,United States,13492.125,Bachelor's degree
1185,United States,12192.883333333333,Master's degree
1196,United States,10194.05,Bachelor's degree
1209,United States,3997.6666666666665,Bachelor's degree
1211,United States,13891.891666666666,Master's degree
1215,United States,12992.416666666666,Master's degree
1217,United States,9494.458333333332,college/university without bachelor's degree
1224,United States,13991.833333333332,Bachelor's degree
1229,United States,7995.333333333333,Bachelor's degree
1230,United States,7495.625,Bachelor's degree
1231,United States,9294.575,Master's degree
1234,United States,7095.858333333334,Bachelor's degree
1240,United States,15990.666666666666,Bachelor's degree
