,Country,Monthly_Sal_EUR,YearsCodePro
6,United States,11993.0,0
23,United States,7495.625,18
32,United States,4397.433333333333,0
33,United States,5996.5,3
35,United States,7995.333333333333,6
43,United States,7395.6833333333325,6
46,United States,11493.291666666666,9
47,United States,6995.916666666666,3
49,United States,8994.75,3
51,United States,11493.291666666666,18
62,United States,11993.0,6
73,United States,3597.9,0
85,United States,7795.450000000001,3
86,United States,11993.0,0
100,United States,14154.238541666668,6
111,United States,11993.0,6
117,United States,10993.583333333332,18
140,United States,6995.916666666666,3
150,United States,10493.875,3
153,United States,10493.875,3
159,United States,11993.0,15
166,United States,7695.508333333333,0
169,United States,9694.341666666667,6
178,United States,12492.708333333332,3
202,United States,9994.166666666666,30
204,United States,5996.5,0
235,United States,8095.275,9
242,United States,6496.208333333333,3
254,United States,5996.5,3
259,United States,10493.875,3
264,United States,9994.166666666666,3
272,United States,13991.833333333332,6
277,United States,5946.529166666667,3
300,United States,7245.770833333333,0
305,United States,7495.625,9
307,United States,6995.916666666666,21
308,United States,18489.208333333332,18
312,United States,12492.708333333332,3
313,United States,2498.5416666666665,3
316,United States,3198.133333333333,0
335,United States,12492.708333333332,3
341,United States,15490.958333333332,12
347,United States,11293.408333333333,9
348,United States,12692.591666666667,0
350,United States,4697.258333333333,0
351,United States,10993.583333333332,18
354,United States,999.4166666666666,0
355,United States,6396.266666666666,24
358,United States,8994.75,3
362,United States,13991.833333333332,9
363,United States,9594.4,15
371,United States,9454.481666666667,6
387,United States,10493.875,0
390,United States,7995.333333333333,3
401,United States,10593.816666666666,6
421,United States,8994.75,24
422,United States,9094.691666666666,3
424,United States,11193.466666666667,18
427,United States,11993.0,18
428,United States,12992.416666666666,18
430,United States,7795.450000000001,21
443,United States,5496.791666666666,6
445,United States,7495.625,9
453,United States,6995.916666666666,3
465,United States,5796.616666666667,0
469,United States,5296.908333333333,3
472,United States,16200.544166666667,15
473,United States,6796.033333333334,3
474,United States,7495.625,0
487,United States,7995.333333333333,3
536,United States,7995.333333333333,6
537,United States,13642.0375,15
552,United States,10993.583333333332,15
555,United States,10493.875,21
565,United States,5496.791666666666,3
569,United States,15006.241250000001,3
572,United States,6296.325000000001,0
574,United States,12692.591666666667,24
584,United States,12992.416666666666,12
608,United States,8495.041666666666,3
613,United States,17489.791666666664,3
616,United States,5796.616666666667,3
618,United States,2998.25,0
622,United States,12492.708333333332,6
632,United States,19988.333333333332,15
634,United States,13991.833333333332,15
637,United States,14191.716666666667,30
638,United States,8794.866666666667,3
655,United States,10993.583333333332,0
670,United States,8295.158333333333,6
671,United States,7195.8,9
674,United States,5296.908333333333,0
675,United States,8495.041666666666,3
678,United States,7495.625,3
690,United States,7195.8,3
700,United States,11993.0,3
702,United States,10693.758333333333,0
705,United States,10993.583333333332,3
708,United States,8495.041666666666,0
712,United States,9594.4,0
717,United States,5996.5,6
718,United States,9394.516666666666,6
721,United States,649.6208333333333,3
727,United States,7595.566666666667,3
733,United States,8495.041666666666,9
737,United States,12992.416666666666,9
751,United States,9494.458333333332,0
754,United States,7995.333333333333,3
760,United States,5037.0599999999995,0
766,United States,12992.416666666666,12
767,United States,14091.775000000001,3
775,United States,3997.6666666666665,6
776,United States,10194.05,3
784,United States,7495.625,0
795,United States,12992.416666666666,6
799,United States,8694.925,6
818,United States,14991.25,6
819,United States,13192.3,21
822,United States,10693.758333333333,24
827,United States,11493.291666666666,15
840,United States,10194.05,12
843,United States,12222.865833333333,9
847,United States,6846.004166666667,3
861,United States,9394.516666666666,3
863,United States,11993.0,0
866,United States,16990.083333333332,30
883,United States,5996.5,0
904,United States,9994.166666666666,0
908,United States,11493.291666666666,15
912,United States,5196.966666666666,0
916,United States,4125.192233333333,6
921,United States,19988.333333333332,9
939,United States,11993.0,3
940,United States,12992.416666666666,0
943,United States,5696.675,0
951,United States,8495.041666666666,6
954,United States,9194.633333333333,30
956,United States,13991.833333333332,30
966,United States,10493.875,3
989,United States,3697.8416666666662,3
996,United States,9394.516666666666,15
1010,United States,14071.786666666667,3
1013,United States,6895.974999999999,6
1014,United States,9494.458333333332,3
1015,United States,7795.450000000001,9
1019,United States,8994.75,3
1023,United States,12992.416666666666,6
1037,United States,6496.208333333333,3
1041,United States,9494.458333333332,3
1043,United States,11193.466666666667,6
1046,United States,1499.125,9
1049,United States,10993.583333333332,15
1059,United States,999.4166666666666,0
1061,United States,4347.4625,3
1064,United States,6496.208333333333,3
1079,United States,15391.016666666666,30
1083,United States,5996.5,3
1089,United States,15990.666666666666,30
1091,United States,14291.658333333333,6
1099,United States,12992.416666666666,21
1100,United States,12992.416666666666,30
1105,United States,1998.8333333333333,3
1108,United States,6995.916666666666,0
1110,United States,11993.0,6
1128,United States,5996.5,3
1129,United States,6396.266666666666,0
1138,United States,7395.6833333333325,0
1159,United States,6796.033333333334,3
1161,United States,3997.6666666666665,3
1163,United States,8694.925,0
1172,United States,8994.75,6
1176,United States,5396.85,3
1183,United States,13492.125,12
1185,United States,12192.883333333333,15
1196,United States,10194.05,9
1209,United States,3997.6666666666665,3
1211,United States,13891.891666666666,6
1215,United States,12992.416666666666,12
1217,United States,9494.458333333332,3
1224,United States,13991.833333333332,9
1229,United States,7995.333333333333,3
1230,United States,7495.625,3
1231,United States,9294.575,9
1234,United States,7095.858333333334,6
1240,United States,15990.666666666666,9
1247,United States,10993.583333333332,9
1255,United States,6796.033333333334,12
1256,United States,15391.016666666666,12
1260,United States,7195.8,0
1261,United States,6496.208333333333,6
1268,United States,12492.708333333332,3
1273,United States,7495.625,3
1277,United States,5996.5,3
1278,United States,7995.333333333333,0
1279,United States,8994.75,3
1280,United States,6995.916666666666,3
1294,United States,5496.791666666666,0
1304,United States,10993.583333333332,6
1311,United States,11993.0,18
1313,United States,4997.083333333333,0
1316,United States,6496.208333333333,0
1317,United States,9994.166666666666,3
1336,United States,14991.25,21
1347,United States,12992.416666666666,18
1348,United States,11993.0,3
1362,United States,10493.875,15
1366,United States,7233.777833333334,0
1372,United States,4997.083333333333,0
1379,United States,5996.5,3
1386,United States,12992.416666666666,18
1397,United States,14491.541666666666,3
1400,United States,10993.583333333332,12
1409,United States,9594.4,15
1410,United States,7985.239224999999,6
1413,United States,14491.541666666666,12
1418,United States,9594.4,24
1437,United States,5746.645833333333,3
1441,United States,7195.8,6
1442,United States,6496.208333333333,0
1452,United States,15291.074999999999,15
1454,United States,12992.416666666666,18
1464,United States,8994.75,15
1471,United States,14991.25,9
1478,United States,11493.291666666666,0
1488,United States,16490.375,3
1499,United States,8295.158333333333,18
1510,United States,12492.708333333332,6
1519,United States,4997.083333333333,3
1521,United States,11493.291666666666,15
1524,United States,7795.450000000001,0
1533,United States,13991.833333333332,3
1537,United States,7295.741666666667,6
1544,United States,12992.416666666666,9
1545,United States,6496.208333333333,0
1552,United States,4847.170833333334,3
1553,United States,13991.833333333332,3
1558,United States,9994.166666666666,12
1564,United States,7120.84375,3
1566,United States,14991.25,15
1569,United States,5796.616666666667,12
1571,United States,14991.25,21
1575,United States,4997.083333333333,0
1583,United States,7495.625,0
1596,United States,4297.491666666667,0
1604,United States,18589.15,27
1606,United States,8445.070833333333,0
1610,United States,15490.958333333332,12
1613,United States,6436.243333333333,3
1616,United States,10993.583333333332,12
1620,United States,18988.916666666664,18
1623,United States,7995.333333333333,0
1645,United States,14891.308333333334,3
1652,United States,7495.625,9
1655,United States,10293.991666666667,3
1664,United States,10493.875,3
1676,United States,7795.450000000001,3
1685,United States,8994.75,0
1694,United States,9994.166666666666,0
1733,United States,13991.833333333332,24
1734,United States,8994.75,9
1735,United States,7870.40625,6
1760,United States,2098.7749999999996,0
1782,United States,5996.5,0
1801,United States,5696.675,0
1803,United States,9494.458333333332,6
1804,United States,14791.366666666665,21
1816,United States,10693.758333333333,9
1820,United States,14991.25,12
1827,United States,16790.199999999997,18
1830,United States,11993.0,3
1842,United States,4547.345833333333,0
1846,United States,5696.675,0
1848,United States,9194.633333333333,21
1849,United States,13692.008333333333,6
1860,United States,6561.170416666666,0
1866,United States,12492.708333333332,6
1868,United States,6995.916666666666,3
1873,United States,7195.8,0
1877,United States,9894.224999999999,3
1893,United States,7275.753333333334,0
1907,United States,7195.8,0
1915,United States,14991.25,24
1927,United States,7495.625,0
1928,United States,12092.941666666668,9
1930,United States,10293.991666666667,9
1932,United States,9994.166666666666,3
1939,United States,12992.416666666666,15
1944,United States,14991.25,3
1958,United States,17589.733333333334,12
1962,United States,18089.441666666666,6
1969,United States,5996.5,0
1970,United States,9494.458333333332,0
1976,United States,10593.816666666666,27
1989,United States,13492.125,3
1991,United States,11493.291666666666,12
1993,United States,15590.900000000001,6
2006,United States,11993.0,12
2007,United States,8744.895833333332,6
2009,United States,12492.708333333332,18
2011,United States,12492.708333333332,6
2021,United States,15990.666666666666,15
2023,United States,7295.741666666667,3
2030,United States,11593.233333333334,6
2034,United States,12492.708333333332,12
2043,United States,11693.175,3
2046,United States,6404.661766666666,9
2054,United States,8495.041666666666,3
2063,United States,4997.083333333333,3
2066,United States,6146.412499999999,0
2073,United States,11753.14,6
2082,United States,12492.708333333332,30
2091,United States,5552.759,3
2093,United States,8694.925,0
2104,United States,6995.916666666666,0
2112,United States,11993.0,9
2115,United States,3398.016666666667,3
2119,United States,13991.833333333332,6
2132,United States,6995.916666666666,6
2137,United States,6995.916666666666,0
2139,United States,7995.333333333333,3
2143,United States,9194.633333333333,3
2159,United States,12492.708333333332,3
2164,United States,12592.650000000001,21
2168,United States,12492.708333333332,18
2169,United States,5496.791666666666,3
2186,United States,11793.116666666665,18
2188,United States,3597.9,0
2193,United States,10993.583333333332,30
2199,United States,16490.375,0
2205,United States,5996.5,3
2211,United States,12492.708333333332,6
2213,United States,2703.4220833333334,0
2219,United States,8694.925,18
2236,United States,9994.166666666666,0
2250,United States,7245.770833333333,0
2259,United States,8994.75,6
2263,United States,9794.283333333333,6
2268,United States,5796.616666666667,0
2271,United States,8495.041666666666,3
2312,United States,7495.625,0
2313,United States,9994.166666666666,6
2316,United States,8894.808333333332,18
2319,United States,10993.583333333332,18
2322,United States,5196.966666666666,9
2325,United States,10993.583333333332,6
2326,United States,2698.425,0
2327,United States,9294.575,3
2337,United States,6895.974999999999,0
2346,United States,12992.416666666666,9
2350,United States,14491.541666666666,6
2356,United States,5196.966666666666,3
2361,United States,14991.25,18
2362,United States,13492.125,12
2364,United States,9494.458333333332,6
2371,United States,5171.98125,3
2372,United States,14491.541666666666,9
2374,United States,11993.0,9
2388,United States,16490.375,18
2400,United States,7195.8,3
2410,United States,7795.450000000001,0
2413,United States,8295.158333333333,6
2414,United States,8994.75,18
2418,United States,11993.0,30
2419,United States,7395.6833333333325,18
2428,United States,12992.416666666666,12
2444,United States,8994.75,6
2445,United States,8032.311750000001,15
2455,United States,19238.770833333332,27
2456,United States,19988.333333333332,3
2477,United States,14491.541666666666,30
2478,United States,12092.941666666668,6
2487,United States,8994.75,0
2498,United States,8994.75,3
2512,United States,14991.25,12
2514,United States,5996.5,0
2538,United States,6995.916666666666,0
2556,United States,16490.375,24
2563,United States,8994.75,27
2588,United States,11993.0,0
2596,United States,8994.75,0
2606,United States,9994.166666666666,0
2617,United States,12492.708333333332,15
2620,United States,8495.041666666666,0
2623,United States,5596.733333333334,3
2628,United States,6496.208333333333,0
2638,United States,13692.008333333333,21
2639,United States,7650.834408333333,9
2649,United States,15990.666666666666,6
2659,United States,6995.916666666666,0
2664,United States,7895.391666666666,3
2666,United States,9994.166666666666,3
2677,United States,10903.635833333334,3
2683,United States,14991.25,30
2692,United States,7395.6833333333325,6
2699,United States,14491.541666666666,3
2710,United States,7695.508333333333,0
2712,United States,3467.975833333333,18
2737,United States,7795.450000000001,3
2738,United States,10993.583333333332,3
2750,United States,12492.708333333332,0
2756,United States,13492.125,6
2759,United States,14991.25,15
2760,United States,16990.083333333332,30
2766,United States,19988.333333333332,18
2767,United States,9194.633333333333,15
2769,United States,143.916,9
2788,United States,18988.916666666664,3
2791,United States,6796.033333333334,15
2800,United States,7595.566666666667,6
2812,United States,19988.333333333332,3
2816,United States,13492.125,9
2831,United States,9994.166666666666,6
2833,United States,10493.875,12
2834,United States,13991.833333333332,9
2857,United States,8994.75,21
2858,United States,7495.625,3
2859,United States,12492.708333333332,18
2864,United States,16990.083333333332,3
2868,United States,10993.583333333332,6
2871,United States,11493.291666666666,18
2885,United States,10094.108333333334,3
2891,United States,9994.166666666666,0
2906,United States,13991.833333333332,9
2910,United States,12492.708333333332,3
2912,United States,14991.25,6
2914,United States,16990.083333333332,6
2919,United States,5996.5,0
2932,United States,10993.583333333332,15
2934,United States,10493.875,24
2939,United States,11193.466666666667,3
2940,United States,5996.5,3
2945,United States,6995.916666666666,0
2949,United States,5496.791666666666,0
2959,United States,9194.633333333333,0
2965,United States,12492.708333333332,12
2970,United States,4697.258333333333,3
2977,United States,7495.625,3
2980,United States,6995.916666666666,0
2989,United States,5396.85,6
2992,United States,10993.583333333332,3
2998,United States,15490.958333333332,12
2999,United States,17989.5,30
3006,United States,9994.166666666666,12
3029,United States,4797.2,0
3037,United States,4197.549999999999,0
3041,United States,9994.166666666666,6
3046,United States,9694.341666666667,3
3051,United States,7495.625,12
3061,United States,7495.625,12
3078,United States,5496.791666666666,3
3081,United States,12492.708333333332,0
3090,United States,15990.666666666666,0
3098,United States,4997.083333333333,0
3105,United States,7795.450000000001,0
3115,United States,15990.666666666666,9
3117,United States,16990.083333333332,3
3137,United States,11793.116666666665,30
3143,United States,14491.541666666666,12
3150,United States,11993.0,18
3177,United States,2698.425,0
3179,United States,7995.333333333333,6
3185,United States,4997.083333333333,0
3186,United States,8694.925,0
3187,United States,11993.0,12
3188,United States,8495.041666666666,6
3200,United States,10493.875,6
3201,United States,11821.100333333332,0
3203,United States,6596.15,3
3207,United States,9094.691666666666,3
3208,United States,5996.5,0
3209,United States,15590.900000000001,30
