,Country,Monthly_Sal_EUR,EdLevel
575,Uruguay,3238.1099999999997,Associate degree
5328,Uruguay,3597.9,Bachelor's degree
8515,Uruguay,2638.46,Professional degree
8606,Uruguay,1189.9054833333332,college/university without bachelor's degree
12089,Uruguay,6596.15,Bachelor's degree
13432,Uruguay,5996.5,Bachelor's degree
15194,Uruguay,779.5450000000001,college/university without bachelor's degree
16007,Uruguay,4497.375,Bachelor's degree
16189,Uruguay,4191.5535,Bachelor's degree
21478,Uruguay,2278.67,Bachelor's degree
23567,Uruguay,7995.333333333333,Bachelor's degree
25109,Uruguay,4610.1092,Bachelor's degree
27798,Uruguay,4197.549999999999,Bachelor's degree
28651,Uruguay,1458.3488,college/university without bachelor's degree
31276,Uruguay,3647.8708333333334,college/university without bachelor's degree
35644,Uruguay,2398.6,college/university without bachelor's degree
38134,Uruguay,4797.2,Professional degree
40528,Uruguay,6955.94,Bachelor's degree
49765,Uruguay,3957.6899999999996,college/university without bachelor's degree
50073,Uruguay,1679.02,college/university without bachelor's degree
53383,Uruguay,5596.733333333334,Bachelor's degree
53436,Uruguay,2638.46,college/university without bachelor's degree
53597,Uruguay,1886.4989,college/university without bachelor's degree
55309,Uruguay,2398.6,Associate degree
56858,Uruguay,3477.97,college/university without bachelor's degree
57846,Uruguay,798.7338,Bachelor's degree
63030,Uruguay,2640.8586,Bachelor's degree
64455,Uruguay,6995.916666666666,college/university without bachelor's degree
64865,Uruguay,3439.5924,Bachelor's degree
66717,Uruguay,2398.6,college/university without bachelor's degree
69292,Uruguay,10194.05,college/university without bachelor's degree
71353,Uruguay,6236.360000000001,Bachelor's degree
78431,Uruguay,6116.43,Master's degree
