,Country,Monthly_Sal_EUR,YearsCodePro
976,Uruguay,449.7375,10
1759,Uruguay,699.5916666666667,5
3925,Uruguay,299.825,10
5313,Uruguay,399.76666666666665,15
5364,Uruguay,9994.166666666666,8
5426,Uruguay,11693.175,24
5589,Uruguay,234.86291666666665,9
5901,Uruguay,199.88333333333333,4
6214,Uruguay,14491.541666666666,26
6344,Uruguay,599.65,7
6352,Uruguay,139.91833333333332,17
6553,Uruguay,3597.9,5
7751,Uruguay,4497.375,2
9293,Uruguay,2598.483333333333,8
10027,Uruguay,19988.333333333332,17
13577,Uruguay,319.81333333333333,16
17389,Uruguay,12192.883333333333,7
18800,Uruguay,14991.25,10
21415,Uruguay,99.94166666666666,1
21589,Uruguay,3078.2033333333334,3
22409,Uruguay,399.76666666666665,12
22892,Uruguay,8994.75,5
25906,Uruguay,2998.25,3
26173,Uruguay,414.7579166666667,4
27872,Uruguay,2298.6583333333333,1
28329,Uruguay,7995.333333333333,10
29501,Uruguay,11493.291666666666,7
31235,Uruguay,299.825,3
33602,Uruguay,14991.25,15
34354,Uruguay,15990.666666666666,12
35122,Uruguay,4997.083333333333,1
35161,Uruguay,9994.166666666666,7
35341,Uruguay,249.85416666666666,2
35491,Uruguay,14991.25,2
35654,Uruguay,499.7083333333333,13
35969,Uruguay,6995.916666666666,8
36541,Uruguay,12692.591666666667,14
38299,Uruguay,349.79583333333335,3
38447,Uruguay,17989.5,19
38498,Uruguay,6196.383333333333,4
38823,Uruguay,649.6208333333333,11
38964,Uruguay,64.96208333333334,1
39068,Uruguay,9994.166666666666,15
39550,Uruguay,789.5391666666667,4
40387,Uruguay,384.7754166666667,25
40616,Uruguay,599.65,3
41016,Uruguay,349.79583333333335,3
41128,Uruguay,249.85416666666666,8
41312,Uruguay,84.95041666666665,1
42830,Uruguay,16990.083333333332,11
42845,Uruguay,7995.333333333333,7
43025,Uruguay,17989.5,8
43175,Uruguay,5996.5,7
43182,Uruguay,10493.875,2
43444,Uruguay,6995.916666666666,8
43520,Uruguay,12992.416666666666,4
43611,Uruguay,299.825,6
43660,Uruguay,3997.6666666666665,1
43720,Uruguay,379.7783333333333,12
43758,Uruguay,5413.440316666667,4
43981,Uruguay,159.90666666666667,22
44213,Uruguay,249.85416666666666,10
44217,Uruguay,14991.25,5
46126,Uruguay,459.7316666666666,4
46139,Uruguay,8994.75,15
47069,Uruguay,299.825,3
50223,Uruguay,679.6033333333332,7
51885,Uruguay,4817.1883333333335,7
52148,Uruguay,299.825,7
52259,Uruguay,8994.75,5
52336,Uruguay,8994.75,11
52715,Uruguay,14391.6,27
53293,Uruguay,279.83666666666664,3
55723,Uruguay,3797.7833333333333,1
56361,Uruguay,11993.0,30
56788,Uruguay,649.6208333333333,8
56794,Uruguay,549.6791666666667,5
58619,Uruguay,359.79,6
59191,Uruguay,329.8075,2
59293,Uruguay,18489.208333333332,5
59853,Uruguay,5996.5,2
60207,Uruguay,17662.290983333332,12
62257,Uruguay,4397.433333333333,5
62343,Uruguay,699.5916666666667,6
63675,Uruguay,12540.680333333332,18
64088,Uruguay,7995.333333333333,3
64158,Uruguay,5596.733333333334,8
65813,Uruguay,3088.1975,1
66034,Uruguay,509.7025,6
66755,Uruguay,102.44020833333333,13
68594,Uruguay,9994.166666666666,18
69395,Uruguay,5996.5,21
69937,Uruguay,999.4166666666666,25
71461,Uruguay,12992.416666666666,7
73843,Uruguay,3697.8416666666662,1
77004,Uruguay,14991.25,4
77496,Uruguay,999.4166666666666,20
77823,Uruguay,99.94166666666666,19
78174,Uruguay,17489.791666666664,10
78799,Uruguay,2998.25,2
81294,Uruguay,14991.25,5
82833,Uruguay,14991.25,14
