,Country,Monthly_Sal_EUR,EdLevel
2223,Uzbekistan,6995.916666666666,Master's degree
7930,Uzbekistan,39.97666666666667,Bachelor's degree
22404,Uzbekistan,549.6791666666667,Bachelor's degree
28989,Uzbekistan,39.97666666666667,Bachelor's degree
49874,Uzbekistan,12492.708333333332,Bachelor's degree
57415,Uzbekistan,59.965,Master's degree
60764,Uzbekistan,64.96208333333334,Professional degree
73278,Uzbekistan,149.9125,Master's degree
79025,Uzbekistan,199.88333333333333,Bachelor's degree
80948,Uzbekistan,1199.3,Master's degree
81859,Uzbekistan,149.9125,Bachelor's degree
