,Country,Monthly_Sal_EUR,YearsCodePro
1194,Uzbekistan,6995.916666666666,7
5353,Uzbekistan,33.5804,2
9601,Uzbekistan,139.91833333333332,5
15175,Uzbekistan,149.9125,4
20235,Uzbekistan,34.97958333333333,1
22653,Uzbekistan,69.95916666666666,1
22876,Uzbekistan,249.85416666666666,5
22948,Uzbekistan,29.9825,2
32977,Uzbekistan,139.91833333333332,3
33544,Uzbekistan,399.76666666666665,5
37065,Uzbekistan,149.9125,4
37681,Uzbekistan,149.9125,3
39959,Uzbekistan,39.97666666666667,1
63325,Uzbekistan,99.94166666666666,3
76006,Uzbekistan,19.988333333333333,1
77435,Uzbekistan,139.91833333333332,1
