,Country,Monthly_Sal_EUR,EdLevel
4832,"Venezuela, Bolivarian Republic of...",2.3986,college/university without bachelor's degree
6508,"Venezuela, Bolivarian Republic of...",9.5944,Bachelor's degree
7234,"Venezuela, Bolivarian Republic of...",1019.405,Professional degree
8345,"Venezuela, Bolivarian Republic of...",59.965,Associate degree
8479,"Venezuela, Bolivarian Republic of...",7899.3893333333335,college/university without bachelor's degree
9947,"Venezuela, Bolivarian Republic of...",2998.25,Bachelor's degree
10504,"Venezuela, Bolivarian Republic of...",2398.6,college/university without bachelor's degree
11559,"Venezuela, Bolivarian Republic of...",317.81449999999995,Associate degree
15921,"Venezuela, Bolivarian Republic of...",47.971999999999994,Bachelor's degree
16864,"Venezuela, Bolivarian Republic of...",599.65,college/university without bachelor's degree
24294,"Venezuela, Bolivarian Republic of...",19998.3275,college/university without bachelor's degree
27398,"Venezuela, Bolivarian Republic of...",83.951,Bachelor's degree
28265,"Venezuela, Bolivarian Republic of...",239.86,college/university without bachelor's degree
37275,"Venezuela, Bolivarian Republic of...",2398.6,Professional degree
39136,"Venezuela, Bolivarian Republic of...",71.958,Bachelor's degree
40448,"Venezuela, Bolivarian Republic of...",599.65,Bachelor's degree
43284,"Venezuela, Bolivarian Republic of...",35.979,college/university without bachelor's degree
51952,"Venezuela, Bolivarian Republic of...",239.86,Bachelor's degree
53347,"Venezuela, Bolivarian Republic of...",179.895,Bachelor's degree
57670,"Venezuela, Bolivarian Republic of...",119.93,college/university without bachelor's degree
58285,"Venezuela, Bolivarian Republic of...",179.895,college/university without bachelor's degree
60640,"Venezuela, Bolivarian Republic of...",11.992999999999999,college/university without bachelor's degree
65729,"Venezuela, Bolivarian Republic of...",1249.2708333333333,Secondary school
67551,"Venezuela, Bolivarian Republic of...",2398.6,Bachelor's degree
72956,"Venezuela, Bolivarian Republic of...",119.93,Bachelor's degree
73607,"Venezuela, Bolivarian Republic of...",71.958,Bachelor's degree
74100,"Venezuela, Bolivarian Republic of...",599.65,Professional degree
75713,"Venezuela, Bolivarian Republic of...",14991.25,Master's degree
78091,"Venezuela, Bolivarian Republic of...",479.72,college/university without bachelor's degree
78336,"Venezuela, Bolivarian Republic of...",479.72,Bachelor's degree
79378,"Venezuela, Bolivarian Republic of...",239.86,Bachelor's degree
79474,"Venezuela, Bolivarian Republic of...",2998.25,college/university without bachelor's degree
86882,"Venezuela, Bolivarian Republic of...",26.3846,Associate degree
87059,"Venezuela, Bolivarian Republic of...",599.65,Bachelor's degree
