,Country,Monthly_Sal_EUR,YearsCodePro
820,"Venezuela, Bolivarian Republic of...",29.9825,2
4192,"Venezuela, Bolivarian Republic of...",119.93,14
5251,"Venezuela, Bolivarian Republic of...",99.94166666666666,5
5591,"Venezuela, Bolivarian Republic of...",7.995333333333333,6
14906,"Venezuela, Bolivarian Republic of...",29.9825,4
15014,"Venezuela, Bolivarian Republic of...",99.94166666666666,6
16837,"Venezuela, Bolivarian Republic of...",199.88333333333333,7
17082,"Venezuela, Bolivarian Republic of...",149.9125,13
17419,"Venezuela, Bolivarian Republic of...",149.9125,1
19678,"Venezuela, Bolivarian Republic of...",59.965,5
23511,"Venezuela, Bolivarian Republic of...",184.89208333333332,6
27877,"Venezuela, Bolivarian Republic of...",79.95333333333333,2
29740,"Venezuela, Bolivarian Republic of...",99.94166666666666,30
33387,"Venezuela, Bolivarian Republic of...",719.58,2
44319,"Venezuela, Bolivarian Republic of...",29.9825,3
44744,"Venezuela, Bolivarian Republic of...",39.97666666666667,2
45366,"Venezuela, Bolivarian Republic of...",1.9988333333333332,2
46509,"Venezuela, Bolivarian Republic of...",24.985416666666666,12
49151,"Venezuela, Bolivarian Republic of...",3.9976666666666665,1
56746,"Venezuela, Bolivarian Republic of...",44.97375,1
56748,"Venezuela, Bolivarian Republic of...",59.965,22
57287,"Venezuela, Bolivarian Republic of...",4.997083333333333,1
57541,"Venezuela, Bolivarian Republic of...",3.9976666666666665,3
57796,"Venezuela, Bolivarian Republic of...",39.97666666666667,5
57919,"Venezuela, Bolivarian Republic of...",119.93,2
58368,"Venezuela, Bolivarian Republic of...",24.985416666666666,8
58739,"Venezuela, Bolivarian Republic of...",29.9825,10
61518,"Venezuela, Bolivarian Republic of...",39.97666666666667,5
