,Country,Monthly_Sal_EUR,EdLevel
18020,Venezuela,15990.666666666666,Master's degree
23205,Venezuela,2398.6,Secondary school
34627,Venezuela,399.76666666666665,Bachelor's degree
41463,Venezuela,49.97083333333333,Bachelor's degree
43227,Venezuela,39.97666666666667,Bachelor's degree
44106,Venezuela,249.85416666666666,Bachelor's degree
45098,Venezuela,119.93,Bachelor's degree
45873,Venezuela,799.5333333333333,Professional degree
49712,Venezuela,1998.8333333333333,Doctoral degree
50661,Venezuela,1918.88,Master's degree
