,Country,Monthly_Sal_EUR,YearsCodePro
5786,Viet Nam,129.92416666666668,3
6769,Viet Nam,1199.3,20
6782,Viet Nam,10993.583333333332,8
8512,Viet Nam,149.9125,4
9917,Viet Nam,79.95333333333333,3
13997,Viet Nam,999.4166666666666,20
20618,Viet Nam,299.825,5
26520,Viet Nam,329.8075,7
30105,Viet Nam,69.95916666666666,1
31087,Viet Nam,199.88333333333333,1
34897,Viet Nam,39.97666666666667,1
48206,Viet Nam,69.95916666666666,1
49362,Viet Nam,1199.3,6
53418,Viet Nam,299.825,2
54028,Viet Nam,249.85416666666666,8
56310,Viet Nam,1998.8333333333333,2
58214,Viet Nam,198.783975,7
63576,Viet Nam,69.95916666666666,4
