,Country,Monthly_Sal_EUR,EdLevel
125,Viet Nam,2098.7749999999996,Master's degree
9925,Viet Nam,229.8658333333333,Bachelor's degree
10355,Viet Nam,249.85416666666666,Professional degree
10567,Viet Nam,174.89791666666667,college/university without bachelor's degree
13126,Viet Nam,99.94166666666666,Bachelor's degree
18435,Viet Nam,79.95333333333333,Bachelor's degree
18830,Viet Nam,179.895,Bachelor's degree
31286,Viet Nam,1.9988333333333332,Bachelor's degree
31425,Viet Nam,1499.125,Bachelor's degree
33266,Viet Nam,399.76666666666665,Master's degree
38444,Viet Nam,99.94166666666666,Bachelor's degree
39821,Viet Nam,149.9125,Bachelor's degree
43593,Viet Nam,139.91833333333332,Bachelor's degree
44390,Viet Nam,56.96675,college/university without bachelor's degree
44523,Viet Nam,119.93,Bachelor's degree
57115,Viet Nam,199.88333333333333,college/university without bachelor's degree
58079,Viet Nam,89.9475,Bachelor's degree
58512,Viet Nam,3198.133333333333,Bachelor's degree
65303,Viet Nam,3997.6666666666665,college/university without bachelor's degree
66166,Viet Nam,349.79583333333335,Bachelor's degree
68657,Viet Nam,39.97666666666667,Bachelor's degree
72680,Viet Nam,199.88333333333333,Master's degree
78820,Viet Nam,189.88916666666665,Bachelor's degree
79256,Viet Nam,99.94166666666666,college/university without bachelor's degree
83422,Viet Nam,1998.8333333333333,Bachelor's degree
