,Country,Monthly_Sal_EUR,EdLevel
1878,Zimbabwe,149.9125,Bachelor's degree
2521,Zimbabwe,159.90666666666667,Bachelor's degree
6466,Zimbabwe,49.97083333333333,Bachelor's degree
15220,Zimbabwe,349.79583333333335,Bachelor's degree
15847,Zimbabwe,249.85416666666666,college/university without bachelor's degree
30560,Zimbabwe,64.96208333333334,Bachelor's degree
46943,Zimbabwe,7.495625,Bachelor's degree
54080,Zimbabwe,1499.125,college/university without bachelor's degree
55057,Zimbabwe,1499.125,college/university without bachelor's degree
66038,Zimbabwe,199.88333333333333,Bachelor's degree
76118,Zimbabwe,6995.916666666666,Bachelor's degree
82241,Zimbabwe,239.86,Bachelor's degree
83328,Zimbabwe,89.9475,college/university without bachelor's degree
83632,Zimbabwe,99.94166666666666,Bachelor's degree
